Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,opener_move,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"During my three-night business trip this fall, I found Affinia Chicago to be perfectly priced for such luxurious amenities and a quiet stay despite the bustling city outside; the complimentary breakfast was fresh and generous enough that it turned an otherwise rushed morning into something enjoyable without any rush or noise disrupting relaxation.",1,qwen3.5:9b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,0,349,53,200,0,2,1.0,12,2026-08-23T21:56:46.872243+00:00
fake,allegro,Hotel,We found Allegro's location perfect for exploring downtown without too much noise late at night disturbing our rest after shows.,1,qwen3.5:9b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,1,128,20,200,0,2,1.0,12,2026-08-23T21:56:48.518047+00:00
fake,amalfi,Hotel,Verdict: The Amalfi delivers exactly what you need for a relaxing escape.,1,qwen3.5:9b,short,positive,structured,few_shot,a verdict stated up front,short_positive_structured_few_shot,2,73,12,200,0,2,1.0,12,2026-08-23T21:56:50.360391+00:00
fake,ambassador,Hotel,I traveled to Chicago for an out-of-town conference at The Ambassador East and was pleasantly surprised by how welcoming the staff felt despite my short three-night stay.,1,qwen3.5:9b,short,positive,structured,few_shot,the reason for the trip,short_positive_structured_few_shot,3,170,27,200,1,2,1.0,12,2026-08-23T21:56:51.898077+00:00
fake,conrad,Hotel,I spent three nights here and was pleasantly surprised by how quiet our floor remained despite being so close to Chicago's bustling street life.,1,qwen3.5:9b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,4,144,24,200,1,2,1.0,12,2026-08-23T21:56:53.253045+00:00
fake,fairmont,Hotel,"Our three-night stay at Fairmont Vancouver felt like home immediately thanks to spotless rooms and quiet corners for rest during our business trip downtown; despite being steps away from busy Gastown streets, we never heard any noise after turning on those comforting lights in the evening.",1,qwen3.5:9b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,5,290,46,200,0,2,1.0,12,2026-08-23T21:56:55.055332+00:00
fake,hardrock,Hotel,I stayed three nights at Hard Rock Hotel Chicago where the breakfast buffet kept me going till lunch without any complaints about noise levels despite being right next to a busy street corner while our friendly front desk staff helped us with quick check-in issues and made every room feel like home during my brief weekend getaway.,1,qwen3.5:9b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,6,332,57,200,0,2,1.0,12,2026-08-23T21:56:56.689511+00:00
fake,hilton,Hotel,Our three-night stay felt perfect thanks to friendly staff guiding us around this prime downtown location where breakfast was surprisingly fresh despite early morning crowds outside our suite window each day before we headed out again later that same afternoon without any fuss from anyone working there at all throughout entire duration of trip so far.,1,qwen3.5:9b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,7,353,56,200,0,2,1.0,12,2026-08-23T21:56:58.156190+00:00
fake,homewood,Hotel,Our Homewood suite was spotless after our three-night getaway right here on site near downtown shops. The hearty breakfast spread saved us every morning before heading out to explore local attractions around town easily by car from this quiet stop along Route 95.,1,qwen3.5:9b,short,positive,structured,few_shot,the room or the hotel itself as the subject,short_positive_structured_few_shot,8,263,43,200,1,1,1.0,12,2026-08-23T21:56:58.829335+00:00
fake,hyatt,Hotel,Checked out just before sunrise after three peaceful nights without any street noise disturbing my sleep. The room was spotlessly clean with fresh linens that felt like new luxury towels right off the rack each morning.,1,qwen3.5:9b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,9,219,36,200,1,2,1.0,12,2026-08-23T21:57:00.618916+00:00
fake,intercontinental,Hotel,I felt right at home during my quick stay here as the InterContinental staff greeted us warmly with genuine smiles that made all price concerns vanish instantly.,1,qwen3.5:9b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,10,161,27,200,1,2,1.0,12,2026-08-23T21:57:02.207562+00:00
fake,james,Hotel,Found a complimentary espresso on my desk upon arriving early for an out-of-town meeting that stretched over three busy days. The room stayed impeccably clean despite heavy usage while the attentive staff managed every request instantly without seeming rushed.,1,qwen3.5:9b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,11,260,39,200,1,2,1.0,12,2026-08-23T21:57:03.828427+00:00
fake,knickerbocker,Hotel,"Arriving on a crisp November evening during our Chicago getaway, we immediately felt welcomed by the warm Knickerbocker staff who guided us to our spotlessly clean suite.",1,qwen3.5:9b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,12,170,27,200,1,2,1.0,12,2026-08-23T21:57:05.726035+00:00
fake,monaco,Hotel,We spent three cozy nights at Hotel Monaco feeling thoroughly pampered by our attentive staff who remembered my coffee order immediately.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,0,137,21,200,1,2,1.0,12,2026-08-23T21:57:07.193497+00:00
fake,omni,Hotel,Just returned from a two-night business trip in October where the Omni perfectly balanced value and comfort without breaking the bank.,1,qwen3.5:9b,short,positive,structured,zero_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_zero_shot,1,134,21,200,1,2,1.0,12,2026-08-23T21:57:09.029249+00:00
fake,palmer,Hotel,Our three-night stay at Hotel Palmer near the train station was surprisingly convenient despite the slightly pricey nightly rate we found online.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,2,145,22,200,1,2,1.0,12,2026-08-23T21:57:10.515628+00:00
fake,sheraton,Hotel,We found Sheraton's location perfect for our quick getaway without breaking the bank on prices or dining out too much.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,3,118,20,200,0,2,1.0,12,2026-08-23T21:57:13.081865+00:00
fake,sofitel,Hotel,I was genuinely impressed by how meticulously clean my room was and how quiet it stayed despite being right on a busy street.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person singular, starting with the word I",short_positive_structured_zero_shot,4,125,23,200,0,2,1.0,12,2026-08-23T21:57:14.529769+00:00
fake,swissotel,Hotel,The Swissotel room was spotlessly clean and surprisingly quiet despite being near a busy street during our four-day stay. The breakfast buffet offered excellent variety with fresh pastries that truly started each morning right.,1,qwen3.5:9b,short,positive,structured,zero_shot,the room or the hotel itself as the subject,short_positive_structured_zero_shot,5,227,34,200,1,1,1.0,12,2026-08-23T21:57:15.126338+00:00
