Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Three nights there for business and the value--quiet rooms, solid breakfast buffet with decent coffee--and the pool on-site was empty both evenings I hung out downstairs, so perfect for some quiet laptop work without feeling like I was intruding.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,246,39,200,1,2,1.0,12,2026-08-23T22:52:02.887665+00:00
fake,allegro,Hotel,"Staying here was just the perfect balance--quiet enough that you don't hear neighbors (thank god, since we came back late), but right by the action: five-minute walk to that hidden speakeasy you only find when locals point it out.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,230,39,200,1,2,1.0,12,2026-08-23T22:52:04.769422+00:00
fake,amalfi,Hotel,"Amalfi's front desk was our first touchpoint, and already the experience set the bar high--check-in smooth as a polished stone on a lazy river.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,143,24,200,1,2,1.0,12,2026-08-23T22:52:06.649574+00:00
fake,ambassador,Hotel,"Stayed for four nights--perfect for both work and unwinding. The room was quiet despite being downtown (a rare find), and check-in went smoothly thanks to attentive staff who even remembered my coffee order by Day 3.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,216,36,200,1,2,1.0,12,2026-08-23T22:52:08.304185+00:00
fake,conrad,Hotel,"Stepping off the elevator into my room at Conrad Las Vegas was like hitting a boutique hotel tucked inside a skyscraper--so unexpectedly peaceful, even with Strip noise just outside.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,182,29,200,1,2,1.0,12,2026-08-23T22:52:10.009131+00:00
fake,fairmont,Hotel,"Our four-night stay at Fairmont Pacific Rim felt like an extension of our family--less a trip, more a breath of fresh air with no trade-offs.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,141,25,200,1,2,1.0,12,2026-08-23T22:52:11.883040+00:00
fake,hardrock,Hotel,"Four days at Hard Rock's Las Vegas strip location fit perfectly with our impromptu road trip--plus, we were right on the boardwalk, strolling to bars and shows without missing a beat.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,183,31,200,1,2,1.0,12,2026-08-23T22:52:13.750157+00:00
fake,hilton,Hotel,"The Hilton on Lake Michigan was exactly what we needed after weeks of road trips--quiet enough to sleep deep, even with windows open, yet steps from a lakefront park where we'd grab coffee every morning.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,203,35,200,1,2,1.0,12,2026-08-23T22:52:15.515060+00:00
fake,homewood,Hotel,"Homewood's suite fit my weekend trip perfectly--three nights without missing a beat thanks to the smart layout, whether I was scrolling through work emails on the desk or unwinding with coffee (and *really* good pastries) at the breakfast bar.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,243,39,200,1,2,1.0,12,2026-08-23T22:52:17.201337+00:00
fake,hyatt,Hotel,"After three nights at Hyatt's downtown outpost near the train hub, my wife and I agreed it hit all the right marks--right down to the plush duvet that made morning roll-calls easier (yes, we counted).",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,200,35,200,1,2,1.0,12,2026-08-23T22:52:19.042565+00:00
fake,intercontinental,Hotel,"Three nights at this InterContinental were exactly what I needed--the room's double bed was cozy after long days exploring, and the hotel bar had those killer old-fashioned cocktails you don't find anywhere else downtown.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,10,221,34,200,1,2,1.0,12,2026-08-23T22:52:20.783007+00:00
fake,james,Hotel,"Stayed for four nights at The James while exploring the city--no early starts or late returns, so slept like I hadn't in months; the quietness is unexpected for downtown.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,11,170,29,200,1,2,1.0,12,2026-08-23T22:52:22.503312+00:00
fake,knickerbocker,Hotel,My week here was smooth despite a few rain delays--check-in went so quickly my luggage barely hit the floor before a nightly corkboard list for neighborhood tips was shoved at me (thank you).,1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,12,191,33,200,1,2,1.0,12,2026-08-23T22:52:24.384768+00:00
fake,monaco,Hotel,"After three perfect nights at Monaco--spending days on the Promenade while breakfasted in on room service (which arrived like clockwork, thanks to my gracious desk clerk), the *real* treat was slipping into silence by 10pm and waking to ocean views every morning.",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,0,263,42,200,1,2,1.0,12,2026-08-23T22:52:25.768155+00:00
fake,omni,Hotel,Flying in late last night made my arrival to this downtown Omni feel like a lucky break--check-in was seamless (though I'll never understand why the room key app still wouldn't auto-check me out).,1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,1,196,33,200,1,2,1.0,12,2026-08-23T22:52:27.480031+00:00
fake,palmer,Hotel,"My three-night stay at The Palmer in London was surprisingly reasonable for its location, and I couldn't have asked for friendlier check-in folks--especially with how early my reservation came through. Quiet despite being near Carnaby Street?",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,2,242,36,200,1,2,1.0,12,2026-08-23T22:52:28.979464+00:00
fake,sheraton,Hotel,Stayed four nights--perfect for exploring downtown without sacrificing quiet at the Sheraton.,1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,3,93,12,200,0,2,1.0,12,2026-08-23T22:52:30.585917+00:00
fake,sofitel,Hotel,"For a city stay, this place nails it--just the right mix of chic without trying too hard. Location's prime (right by the Seine), but I'd book with my eyes open for breakfast timing; the buffet closes sharp at 10:30, and my coffee was lukewarm by then. That said?",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,4,262,48,200,1,2,1.0,12,2026-08-23T22:52:32.375793+00:00
fake,swissotel,Hotel,The Swissotel's premium price never felt wasted--our room's riverside view made each morning (after a *very* generous breakfast buffet with everything from croissants to local pastries) feel like a treat.,1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,5,204,30,200,1,2,1.0,12,2026-08-23T22:52:34.009204+00:00
fake,talbott,Hotel,"The Talbott was exactly what I needed after two busy days in DC--three nights here, and every detail felt intentional.",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,6,118,20,200,0,2,1.0,12,2026-08-23T22:52:35.342062+00:00
fake,affinia,Hotel,"The Affinia's location in the heart of the city was perfect--I could walk to all my favorite cafes without missing a beat. The staff were especially helpful, especially the guy at reception who saved me when I mixed up my flight time. Breakfast?",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,7,245,43,200,1,2,1.0,12,2026-08-23T22:52:36.928297+00:00
fake,allegro,Hotel,"Three nights at Allegro were perfect--the room was spotless but not sterile (bedsheets smelled faintly fresh, sheets didn't drag at the hips), and the AC hummed just loud enough to drown out the distant rumble of the highway by day.",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,8,232,40,200,1,2,1.0,12,2026-08-23T22:52:38.757605+00:00
fake,amalfi,Hotel,Our four-night stay here was perfect--especially after those last-minute upgrades (thank you!). The room sparkled so cleanly it looked brand-new; plush towels and that quiet view over the rooftops made it hard to leave.,1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,9,219,34,200,1,2,1.0,12,2026-08-23T22:52:40.541505+00:00
fake,ambassador,Hotel,"The rooms were quieter than expected--perfect for sleeping in after late nights exploring the neighborhood (seriously, the location can't be beat; everything's within a brisk walk). Staff made sure our drinks stayed ice-cold without needing to ask twice.",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,10,254,38,200,1,2,1.0,12,2026-08-23T22:52:41.983541+00:00
fake,conrad,Hotel,"Splurged on The Conrad for three nights in Bangkok--worth every baht when they got that poolside cabana right for me (slightly more noise at dusk from street vendors, but earplugs fixed it by nightfall).",1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,11,203,34,200,1,2,1.0,12,2026-08-23T22:52:43.532337+00:00
fake,fairmont,Hotel,The Fairmont in San Francisco blew me away--even better than I expected.,1,doomgrave/ministral-3:8b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,12,72,12,200,0,2,1.0,12,2026-08-23T22:52:45.211075+00:00
fake,hardrock,Hotel,Got straight into it once I walked through the lobby's bold rock 'n' roll vibe--like stepping into a concert tour bus turned five-star stay. The king bed was so comfortable my back actually stopped aching after one night (rare for me).,1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,0,235,41,200,1,2,1.0,12,2026-08-23T22:52:47.063743+00:00
fake,hilton,Hotel,I was surprised by how perfect my Hilton suite ended up being--especially for just the two of us.,1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,1,97,18,200,0,2,1.0,12,2026-08-23T22:52:48.950559+00:00
fake,homewood,Hotel,Stayed at Homewood for my sister's wedding weekend--turns out it was *perfect* for that.,1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,2,88,14,200,0,2,1.0,12,2026-08-23T22:52:50.701615+00:00
fake,hyatt,Hotel,Arrived late but check-in was so smooth--just handed my phone to a smiling hostess with directions pre-saved to her screen like it was nothing (though I *was* tired).,1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,3,166,28,200,1,2,1.0,12,2026-08-23T22:52:52.521029+00:00
fake,intercontinental,Hotel,"Checked in here for work but left feeling like I'd scored an upgrade--my suite's city views? Unbeatable, especially at sunset when those Midtown lights catch the skyline just right.",1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,4,181,29,200,1,2,1.0,12,2026-08-23T22:52:54.359558+00:00
fake,james,Hotel,The James feels like it was made for people who appreciate the little touches--the softest towels you'll ever use (the monogrammed ones were a fun extra) without all the overdone boutiquey flair. The rooftop bar's view at sunset?,1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,5,229,38,200,1,2,1.0,12,2026-08-23T22:52:56.246979+00:00
fake,knickerbocker,Hotel,"The Knickerbocker's lobby was that perfect mix of old-school charm and crisp modernity--the kind of place you want to linger in with coffee at 6 a.m., just soaking it all in.",1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,6,174,31,200,1,2,1.0,12,2026-08-23T22:52:58.093180+00:00
fake,monaco,Hotel,"Stayed here for three nights during my trip to Monaco--couldn't have been happier with how thoughtful everything felt, even though it was just for me.",1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,7,150,25,200,1,2,1.0,12,2026-08-23T22:52:59.970269+00:00
fake,omni,Hotel,"The rooftop bar here doesn't have that overpriced city view nonsense--it's got *real* depth, like you can actually see the lake on a clear day without some slick reflection trick.",1,doomgrave/ministral-3:8b,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,8,179,30,200,1,2,1.0,12,2026-08-23T22:53:01.858976+00:00
