Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Loved my stay at the Affinia--my room on the 18th floor had a fantastic skyline view, and everything was spotless. Wifi was fast enough for work calls, and the blackout curtains meant I slept like a rock.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,0,204,37,200,1,1,1.0,12,2026-09-10T14:18:48.020584+00:00
fake,allegro,Hotel,"Lovely stay at the Hotel Allegro -- our corner room looked out over the theater district lights, the bed was so comfy I slept straight through the night, and the breakfast spread was fresh and generous. Totally worth what we paid.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,1,230,41,200,1,1,1.0,12,2026-09-10T14:18:50.776750+00:00
fake,amalfi,Hotel,"Wish we'd booked more than three nights! Slept like a dream on the comfy bed, and waking up to those sea views from our balcony never got old. Pricey, yes, but absolutely worth every euro for a stay this lovely.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,2,211,40,200,1,1,1.0,12,2026-09-10T14:18:53.382869+00:00
fake,affinia,Hotel,"Great location with a nice city view from our window, and the room was spotless on arrival. Wifi was fast and reliable, and the beds were so comfy I slept like a rock every night. Would happily return.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,0,201,38,200,1,1,1.0,12,2026-09-10T14:19:14.611730+00:00
fake,allegro,Hotel,"Loved the view of the harbor from our room, and the bed was so comfy I slept straight through the night. Breakfast had fresh pastries and good coffee. Honestly felt like solid value for the price.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,1,196,36,200,1,1,1.0,12,2026-09-10T14:19:16.823405+00:00
fake,amalfi,Hotel,"Our long weekend at Hotel Amalfi flew by too fast--the sea-view balcony alone was worth the price. Beds were incredibly comfortable, and we slept better there than at home. Already planning a return trip.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,2,204,34,200,1,1,1.0,12,2026-09-10T14:19:18.340093+00:00
fake,ambassador,Hotel,"Loved my weekend here, honestly too short. The room was spotless and the decor felt fresh and updated, and the breakfast spread with fresh pastries and good coffee got mornings off right. Would happily return for a longer stay.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,3,227,39,200,1,1,1.0,12,2026-09-10T14:19:20.115419+00:00
fake,conrad,Hotel,"Loved the Conrad's prime spot near the river--walkable to everything. Rooms felt fresh and modern, wifi was fast and reliable, and for the quality, the price felt fair. Would return.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,4,182,30,200,1,1,1.0,12,2026-09-10T14:19:22.346294+00:00
fake,fairmont,Hotel,"Slept like a rock on the plush Fairmont bed, and the wifi never glitched once during my work calls. Waking up to that skyline view was the best part. Three nights honestly flew by--would happily have stayed another week.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,5,220,39,200,1,1,1.0,12,2026-09-10T14:19:24.183659+00:00
fake,hardrock,Hotel,"Great stay at the Hard Rock -- big bathroom with an excellent shower, and breakfast had fresh options beyond the usual buffet fare. Location made getting around easy. Honestly, the weekend flew by and felt too short!",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,6,216,37,200,1,1,1.0,12,2026-09-10T14:19:25.896414+00:00
fake,hilton,Hotel,"Great stay at the Hilton--spotless bathroom with a big tub, strong wifi throughout, and breakfast had fresh fruit and made-to-order omelets. Walking distance to everything downtown. Would happily return.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,7,203,29,200,1,1,1.0,12,2026-09-10T14:19:27.321777+00:00
fake,homewood,Hotel,"Really pleasant stay at the Homewood. Room was spotless, bathroom had good water pressure and plenty of towels, and the free breakfast offered a nice variety. Staff were warm and quick to help with everything. Would happily return.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,8,231,38,200,1,1,1.0,12,2026-09-10T14:19:28.946981+00:00
fake,hyatt,Hotel,"Great stay at the Hyatt--worth every penny for the rate. Breakfast had fresh options beyond the usual, front desk staff were warm and quick with requests, and my room stayed impressively quiet despite the busy street. Would happily return.",1,glm-5.3-flash,short,positive,structured,few_shot,short_positive_structured_few_shot,9,239,39,200,1,1,1.0,12,2026-09-10T14:19:41.695397+00:00
