text,Binary_label,label,hotel,origin,source_dataset,cell_id_variation,split
"Slept like a log in the blissfully silent room, the bed was pure heaven. The bathroom felt modern and spotless, and the breakfast buffet's fresh pastries and coffee were a perfect start. Zero complaints.",fake,1,ambassador,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_structured_zero_shot,train
"The Wi-Fi held strong all week, and the staff's genuine warmth made check-in a breeze. While not cheap, the stunning harbor view from our room justified every penny for that unforgettable sunrise.",fake,1,ambassador,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_structured_zero_shot,train
"My partner and I spent three nights here for our anniversary, and it was exactly the cozy, historic getaway we hoped for. The room was on the smaller side, but the wood beams, fireplace, and plush bedding made it feel like a warm hideaway rather than a cramped space. We loved that the hotel is right in the heart of the Magnificent Mile, yet our room was remarkably quiet--no street noise at all. The staff genuinely went out of their way, especially the concierge who booked us a last-minute river architecture tour and recommended an off-menu dish at a nearby bistro we still talk about. The complimentary breakfast was simple but well done, and the lobby's afternoon cookies were a lovely touch after a long walk. Sure, the building shows its age in a few nicks, but that's part of its charm. We left feeling rested, spoiled, and already planning a return. Highly recommend for couples who appreciate character over cookie-cutter hotels.",fake,1,talbott,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,long_positive_unstructured_zero_shot,train
"Not worth the steep rates at all. The halls and neighboring rooms were noisy well past midnight, breakfast service was slow and surly, and I barely slept. Won't be returning to the Monaco.",fake,1,monaco,glm-5.3-flash,Hotel_LLM_Reviews_glm-5.3-flash.csv,short_negative_structured_few_shot,train
"The fresh, understated decor suited the room perfectly, and the skyline view was a bonus. Breakfast had good coffee and pastries, while the Wi-Fi stayed fast enough for work.",fake,1,james,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,short_positive_structured_few_shot,train
"This hotel has the worst rooms we have stayed in during the last 10 years. The first room they gave us was a shock. TINY and the bathroom was a joke,, you had to step inside, move out of the way just to shut the door. The furniture is disgusting and all the wood trim was VERY beat up and painted over about 100 times. so they transfered us to the 'executive suite' That room had a tiny bathroom.. I mean TINY! The furniture was hideous and dirty. It was on the 3rd level so you heard every conversation on the street below and traffic was loud. The only impressive part is the lobby.. but don't be fooled. because after that .. the floors above look like they need a major overhaul.. and the rooms were not worth even $100 per night. we stayed there a year ago because we got stuck through Priceline deal. I don't think we want to do Priceline again only because they have the Knickerbocker as a 4 star Hotel and we don't ever want to go back there again. 2 Stars at best for the dumpy Knickerbocker. They should be ashamed of themselves for even allowing guests to stay in those rooms. Boomer. Naperville, IL
",real,0,knickerbocker,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"My wife and I stayed here for a weekend in Chicago and had an okay experience. The location contrary to other reviews is not very good for a downtown Chicago hotel. Everything is at least a fifteen minute walk which in the winter in Chicago means a taxi ride. The other thing that you should know about this hotel is that they allow smoking everywhere. I don't necessarily mind people smoking but the lobby, the elevator lobbies and any area that was public had tons of people smoking and ashtrays everywhere. The pool/spa/excercise room was not very impressive either. It is accessible by walking through the business center corridor, wondering if you're going the right way and then coming to a pool that is extremely small. There is also no hot tub and the 'spa' is a closet with a massage table. The concierge was helpful but the people that answer the 'sheraton promise' phone told me that there was nothing they could do about ice being out on two floors. The beds were super comfortable. I think that this is probably a nice business hotel with top of the line conference and meeting facilities but for couples or families you can do MUCH better in downtown Chicago.
",real,0,sheraton,human_real,Hotel_Human_VS_HumanFake_relabelled.csv,,train
"The location was wonderfully convenient, but the Knickerbocker felt tired rather than stylish. Our room was only passably clean, and the lukewarm, limited breakfast made the stay disappointing.",fake,1,knickerbocker,gpt5.6-luna,Hotel_LLM_Reviews_gpt5.6_luna.csv,short_negative_structured_few_shot,train
"I expected much more from an Omni stay, especially for the price. Check-in took nearly 30 minutes because only one person was working the desk, and no one acknowledged the line. Our room looked worn, with scuffed furniture, a stained chair, and a bathroom fan that rattled all night. The air conditioning barely cooled the room, so sleeping was uncomfortable. We called twice for extra towels and they arrived hours later, after we had already gone out for dinner. The pool area was crowded and had towels scattered everywhere, with no staff in sight. Breakfast was expensive and surprisingly mediocre. The location was convenient, but that was about the only positive. Overall, it felt more like an aging business hotel than the polished experience advertised.",fake,1,omni,gpt5.6-terra,Hotel_LLM_Reviews_gpt5.6_terra.csv,long_negative_unstructured_zero_shot,train
"A far-too-brief stay, but every minute was wonderful. Breakfast had a fantastic made-to-order omelet station, and the location made exploring effortless. The bed was so comfortable I slept better than I have in months.",fake,1,conrad,deepseekv4-flash,Hotel_LLM_Reviews_deepseekv4_flash.csv,short_positive_structured_zero_shot,train
