text,Binary_label,label,Category,origin,cell_id,split
"Review's a little late, but... My husband & I first stayed at the Amalfi in 8/06 totally based on reviews I read on this website. We were totally WOWED!! Loved the location, the room, the Aveda bath products, but most of all loved the evening reception & breakfast on our floor. I returned to Chicago with 3 girlfriends in 9/07 and booked us in a suite at the Amalfi. It was great - room was very spacious and my girlfriends were quite pleased! Will stay next time I'm in Chicago too!! P.S. They honor a government rate!!!! 
",real,0,amalfi,human_real,,train
"I stayed here for a conference and got the conference rate of $149. I was worried that I wouldn't get a nice room, since it was the weekend before the election and the hotel is across the street from Grant Park, so it could easily have gotten a lot more for the nicer rooms. I requested a quiet room away from elevators and foot traffic, and that is exactly what I was assigned (perhaps because I am also a 'silver' member?). It was a beautiful room with windows on two sides, a king sized bed. The room was quiet, comfortable and immaculate. The maid even left a thank you note for the tip I had left. All the staff were helpful, polite and cheerful. I appreciated the fact that I could actually purchase a breakfast for under $15 (oatmeal, coffee, and juice)--something not possible at a lot of big hotels, like the Hyatt I stayed at last year. 
",real,0,hilton,human_real,,train
"My stay at the Sofitel was great. I loved the location it was in. From the moment I arrived the experince was great, the attendants were helpful and the front desk was too. I thought the room was elegant and very clean as well as comfortable. The room service was excllent and they were very friendly. Checkout was a breeze and I couldnt ask for anything more in a hotel stay. 
",fake,1,sofitel,human_fake,,train
"Affinia hotel in Chicago was one of the most interesting hotels I have ever stayed in. Everything looks very nice and fancy, though the people that work there must be from the projects of Chicago. The customer service was the worst I have ever experienced in my life! When we went to check in, first we had to wait about 15 minutes for the 3 workers that were at the desk to stop their personal conversation and check us in. When the women at the counter finally acknowledged us, she was smacking her gum, and was upset and treating us like we were inconveniencing her! The room service brought us cold eggs for breakfast, and the attitude of the staff overall was extremely rude. I would NEVER go back, and I hope this place gets a staff makeover if they want to stay in business.
",fake,1,affinia,human_fake,,train
"Stayed there three nights from 4/17/09 through 4/20/09. Chechecked in about 9:15 AM. Had to wait about 15 minutes because of specials requests I had made. Room was quiet, and comfortable. Marked improvement over last time I stayed there (about 5 years ago). The renovations were great, and maintained the old time charm of the hotel. 
",real,0,knickerbocker,human_real,,train
"Stayed in a Junior Suite which was beautiful and spacious. It had the largest flat screen tv I have ever seen in a hotel (great excuse to catch up on some movies) The breakfast buffet was great and was served in the hotels huge atrium which was nice. The service was top notch. Stayed in a lower floor in the East tower which was great as there was no waits for an elevator and they were always empty. The Shed aquarium was a complete waste of time and money but the Field musium was amazing. Chicago remains tied with London as my favourite city. 
",real,0,hyatt,human_real,,train
"Don't stay here if you take peace in knowing you have a reservation. About 3 months ago, we booked a room here for our wedding night (which is in less than 2 weeks). My fiance called last week to confirm the room and everything was great until today when they called to bump us to another hotel - no upgrades, no discounts. Apparently it is my problem that their manager can't manage the convention schedule. I don't even want to stay at another Kimpton Hotel because I don't find their reservation system reliable. Unfortunately, due to the conference, there isn't any other place to stay.
",real,0,monaco,human_real,,train
"My husband and I stayed overnight at the Affinia. Prior reviews led us to believe this was a quality hotel; not true. Since it was a very special occasion, and also because we were only staying overnight, we didn't let the shabbiness and poor service of the hotel ruin our weekend. However, this would have qualified as one of the poorest hotel experiences. I've ever had. First, the smells: The linens and pillows on our bed smelled moldy and mildewy. The odors were not mild, and I found it pretty repulsive. I couldn't wait to jump out of bed in the morning, to get away from the odors. Hard to sleep and certainly didn't want to be in the bed any longer than absolutely necessary. I didn't discover how disgusting the bed smelled until around midnight when we got into bed. At that point, I chose not to contact housekeeping because (a) I was exhausted, and (b) I didn't want to upset my husband, who had fallen immediately to sleep after a long day of sightseeing. Also, the bathroom smelled like vinegar. Perhaps this is the cleaning agent used by Affinia, but the odor should have dissipated over the course of our stay and it never did. Incidentally, the bathroom floor tiles and wallpaper looked like they had seen better days; not a well-maintained property. Second, the elevators: If you stay above the first few floors, there are only two elevators that run from ground level to the rooftop c-view bar. With so many floors to service, and so many people going up to the c-view bar on a saturday, these elevators took forever to come, and were often full they did. Annoying. Also, on one occasion, there were several bottles (water and soda) left in the elevator; clearly, the maintenance crew doesn't inspect and clean the common areas frequently. Finally, and perhaps the most disappointing was the service when we arrived. First, when we booked, we asked for as quiet a room as possible. The hotel is located near Northwestern Memorial Hospital. But, its proximity to Michigan Ave., and the lack of accomodations elsewhere (due to the Transformers movie filming and a big international convention taking place the same week-end), led us to stay here anyway. At check-in, the clerk noted our request, and said our room was quiet room since it was not 'next to the elevators.' When we arrived at our room, we discovered that we were across from the elevators. Obviously, she was technically correct that we weren't next to the elevators, but it was still so close (15-20 feet) that we could hear the elevator noise. Also, since it was a special occasion, we asked if we could upgrade. The disingenuous, snarky, condescending clerk told us that checking in early was an upgrade. Clearly, the woman has not travelled enough to know that in many quality hotels, this is a matter of routine, not exception. Pretty awful experience all the way around. Other reviewers must have very low expectations. Can't explain any of the good reviews otherwise.
",real,0,affinia,human_real,,train
"i recently stayed at the amalfi hotel in Chicago and was very disappointed right from the beginning. the girl at the front desk was busy talking to a one of her friends and when i finally did get her to wait on me she was rude and seemed bothered to have to wait on me. the room wasnt at all what i was expecting. it was dingy, dirty, and just seems like an old hotel. just not what i was looking for in a nice hotel. seemed like the quality you'd expect from a cheap motel.
",fake,1,amalfi,human_fake,,train
"Stayed 5 nights at this great hotel. Updated rooms. Clean. Used Tim to book theater and dinning reservations. Provided excellent service. Close to subway, shopping and dinning. Excellent value. Free wireless internet and access to nearby health club very nice perks. Highly recommend it. Future concern is adjacent construction of condos. Not a problem while we were there but something to ask front desk about in the future. 
",real,0,talbott,human_real,,train
