Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"My solo stay at Affinia Chicago was seamless, thanks to check-in efficiency that left me with plenty of time for coffee before heading out.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,139,24,200,1,2,1.0,12,2026-08-23T23:02:03.164664+00:00
fake,allegro,Hotel,"I stumbled upon the Hotel Allegro by chance on my Chicago trip, and its convenient River North location became my home for three nights.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,136,24,200,1,2,1.0,12,2026-08-23T23:02:04.297567+00:00
fake,amalfi,Hotel,"The staff at Hotel Amalfi were warm and attentive, often checking in with me throughout my stay to ensure I had everything I needed.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,132,24,200,1,2,1.0,12,2026-08-23T23:02:05.201870+00:00
fake,ambassador,Hotel,"I booked the hotel for a solo trip during peak season and was pleasantly surprised by how efficiently I checked in, even though it was a bit chaotic with a long line.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,166,32,200,1,2,1.0,12,2026-08-23T23:02:06.133875+00:00
fake,conrad,Hotel,Staying at the Conrad was a masterclass in understated luxury - our room's serene ambiance was punctuated by the hum of the city just outside.,1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,142,25,200,1,2,1.0,12,2026-08-23T23:02:07.146384+00:00
fake,fairmont,Hotel,"I splurged on a room with views of Lake Michigan and it was worth every penny - the Fairmont's classic elegance is still intact despite being over 100 years old, and that's part of its charm.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,191,36,200,1,2,1.0,12,2026-08-23T23:02:08.057575+00:00
fake,hardrock,Hotel,The Hard Rock Cafe hotel exceeded my expectations with its energetic vibe and generous portions at the all-you-can-eat buffet.,1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,126,19,200,0,2,1.0,12,2026-08-23T23:02:09.046346+00:00
fake,hilton,Hotel,"I spent three nights at this Hilton, and it was surprisingly comfortable despite being a city hotel with lots of activity outside - some rooms had better soundproofing than others.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,180,30,200,1,2,1.0,12,2026-08-23T23:02:09.860796+00:00
fake,homewood,Hotel,I spent three nights at Homewood Suites Chicago and was pleasantly surprised by the generous breakfast spread - the made-to-order omelets were a highlight - without it being too greasy or overwhelming.,1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,201,32,200,1,2,1.0,12,2026-08-23T23:02:10.762797+00:00
fake,hyatt,Hotel,"I recently spent three nights at the Hyatt Regency Chicago and was thoroughly impressed with the hotel's spacious rooms, attentive staff, and prime location along the Lake Michigan shoreline.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,191,29,200,1,2,1.0,12,2026-08-23T23:02:11.630596+00:00
