Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,Staying at Affinia was an absolute delight with stunning city views visible from every angle while the room remained impeccably clean throughout my entire trip.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,160,25,200,1,2,1.0,12,2026-08-23T23:29:42.967255+00:00
fake,allegro,Hotel,My recent stay at Allegro was simply delightful thanks to the stunning skyline views that greeted me every morning. The room features were perfect for a restful night's sleep while the fresh breakfast made the entire trip feel worth every penny spent here.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,256,43,200,1,2,1.0,12,2026-08-23T23:29:44.282213+00:00
fake,amalfi,Hotel,"Our brief getaway at the Amalfi felt too short rather than long, leaving me longing for another night to soak in that breathtaking coastal view.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,144,25,200,1,2,1.0,12,2026-08-23T23:29:45.982545+00:00
fake,ambassador,Hotel,The room at Hotel Ambassador was immaculately clean with fresh decor that avoids feeling dated despite its classic charm. Our three-night stay flew by too quickly given how much we enjoyed the hearty breakfast served daily each morning.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,236,38,200,1,2,1.0,12,2026-08-23T23:29:47.757933+00:00
fake,conrad,Hotel,Staying at Conrad Tokyo exceeded expectations with its vibrant yet refined decor that feels utterly fresh rather than dated. The prime location made transit effortless while high-speed Wi-Fi kept my work seamless throughout the trip.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,233,35,200,1,2,1.0,12,2026-08-23T23:29:49.400569+00:00
fake,fairmont,Hotel,"The Fairmont's room offered deep rest despite city noise thanks to quiet walls, while high-speed wifi kept my work seamless throughout the stay. The morning view over the water made me wish I could linger longer before heading out for breakfast again.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,251,42,200,1,2,1.0,12,2026-08-23T23:29:51.009379+00:00
fake,hardrock,Hotel,My recent night at Hard Rock was fantastic with a hearty breakfast featuring fresh eggs right next to our room door. The bathroom featured sleek black fixtures and excellent toiletries that made morning routines quick yet luxurious.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,232,37,200,1,2,1.0,12,2026-08-23T23:29:52.674538+00:00
fake,hilton,Hotel,My Hilton experience was perfect with fast wifi throughout every corner of this conveniently located spot near transit lines making my day effortless.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,150,23,200,1,2,1.0,12,2026-08-23T23:29:54.231205+00:00
fake,homewood,Hotel,"The Homewood staff greeted us with genuine warmth right at check-in. Our room was spotlessly clean, featuring a spacious bathroom perfect for morning routines.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,159,24,200,1,2,1.0,12,2026-08-23T23:29:56.219417+00:00
fake,hyatt,Hotel,We stayed at Hyatt Place Denver where every dollar felt justified through top-tier service that went above expectations to ensure our comfort all night long despite city noise outside while breakfast offered fresh made-to-order options daily without ever feeling rushed by large crowds in line before leaving for meetings downtown tomorrow morning.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,348,52,200,0,2,1.0,12,2026-08-23T23:29:57.895218+00:00
fake,intercontinental,Hotel,"My InterContinental stay felt perfectly balanced; neither too long nor short for such refined comfort. The contemporary decor is fresh without feeling dated, while the marble bathroom surprised me with its spa-like depth.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,10,221,33,200,1,2,1.0,12,2026-08-23T23:29:59.243508+00:00
fake,james,Hotel,"The James Hotel surprised me with fresh decor instead of dated styles, offering sweeping views of Chicago's skyline that made breakfast worth waking up early for.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,11,162,26,200,1,2,1.0,12,2026-08-23T23:30:01.086536+00:00
fake,knickerbocker,Hotel,Our three-night stint at the Knickerbocker flew by too quickly despite enjoying an incredibly quiet sanctuary away from street noise.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,12,133,20,200,1,2,1.0,12,2026-08-23T23:30:02.578236+00:00
fake,monaco,Hotel,"The Monaco exceeded expectations with a stunning ocean view from my room and an immaculate bathroom featuring premium amenities. I slept soundly thanks to the comfortable bed, making this stay absolutely worth every penny for such luxurious comfort and service.",1,qwen3.5:9b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,0,261,40,200,1,2,1.0,12,2026-08-23T23:30:03.810634+00:00
fake,omni,Hotel,The Omni's breakfast buffet was an absolute delight with fresh pastries and made-to-order omelets that justified every penny of our stay.,1,qwen3.5:9b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,1,137,21,200,1,2,1.0,12,2026-08-23T23:30:05.388642+00:00
fake,palmer,Hotel,"The Palmer exceeded expectations with a spotlessly clean room that featured fresh, modern decor rather than anything dated.",1,qwen3.5:9b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,2,123,18,200,0,2,1.0,12,2026-08-23T23:30:06.592428+00:00
fake,sheraton,Hotel,Our Sheraton stay felt just right--not too long or short--and the fresh decor made us forget we were in a hotel.,1,qwen3.5:9b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,3,112,21,200,0,2,1.0,12,2026-08-23T23:30:07.898238+00:00
fake,sofitel,Hotel,The Sofitel's location was incredibly convenient for exploring the city on foot. Our room spotlessly clean and fresh staff made our short stay feel perfectly timed without rushing us at all.,1,qwen3.5:9b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,4,190,31,200,1,2,1.0,12,2026-08-23T23:30:09.217893+00:00
fake,swissotel,Hotel,Our Swissotel room was spotlessly clean with a spacious bathroom featuring excellent water pressure and heated floors.,1,qwen3.5:9b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,5,118,17,200,0,2,1.0,12,2026-08-23T23:30:11.121853+00:00
