Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,opener_move,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Stayed at the Affinia last November for our honeymoon, finding the room value incredible despite the city noise drifting softly through the walls.",1,qwen3.5:9b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,0,146,23,200,1,2,1.0,12,2026-08-22T10:39:52.762821+00:00
fake,allegro,Hotel,"We arrived on a Tuesday evening at Allegro, where staff named Marco warmly greeted us near the entrance despite some construction noise echoing from upstairs.",1,qwen3.5:9b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,1,158,25,200,1,2,1.0,12,2026-08-22T10:39:54.747730+00:00
fake,amalfi,Hotel,Start: A solid stay at the Amalfi where the location near the beach saved us time. Staff member Marco guided us through a sudden rainstorm with easy smiles and fresh espresso for breakfast.,1,qwen3.5:9b,short,positive,structured,few_shot,a verdict stated up front,short_positive_structured_few_shot,2,189,33,200,1,2,1.0,12,2026-08-22T10:39:56.632775+00:00
fake,ambassador,Hotel,My trip to Chicago for work turned into a relaxing weekend at The Ambassador thanks to Mark at the front desk who remembered my coffee order on Tuesday night.,1,qwen3.5:9b,short,positive,structured,few_shot,the reason for the trip,short_positive_structured_few_shot,3,158,29,200,1,2,1.0,12,2026-08-22T10:39:58.787431+00:00
fake,conrad,Hotel,"I spent three nights in room 412 during my business trip last week, and honestly, the experience was seamless from check-in to checkout.",1,qwen3.5:9b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,4,136,23,200,1,2,1.0,12,2026-08-22T10:40:00.797140+00:00
fake,fairmont,Hotel,"Our three-night stay at the Fairmont on Lake Shore Drive felt like perfect luxury. The room was spotlessly clean, though traffic noise seeped in slightly before dawn.",1,qwen3.5:9b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,5,166,27,200,1,2,1.0,12,2026-08-22T10:40:02.694130+00:00
fake,hardrock,Hotel,"I stayed for three nights in room 412 during my Chicago trip last fall and honestly, the breakfast spread kept me going every morning.",1,qwen3.5:9b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,6,134,24,200,1,2,1.0,12,2026-08-22T10:40:04.878779+00:00
fake,hilton,Hotel,"We stayed three nights in room 1402 during our Chicago trip, loving how close the location was to everything we needed.",1,qwen3.5:9b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,7,119,21,200,0,2,1.0,12,2026-08-22T10:40:06.832915+00:00
fake,homewood,Hotel,"Room 214 was spotless after our four-night stay in early November. The breakfast buffet had fresh fruit every morning, plus the location right off the highway made grocery runs easy while staff like Maria greeted us with a smile daily.",1,qwen3.5:9b,short,positive,structured,few_shot,the room or the hotel itself as the subject,short_positive_structured_few_shot,8,235,40,200,1,2,1.0,12,2026-08-22T10:40:08.527382+00:00
fake,hyatt,Hotel,Stayed here last Tuesday for three days; my Room 512 was spotless with barely any noise from the street outside.,1,qwen3.5:9b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,9,112,20,200,0,2,1.0,12,2026-08-22T10:40:10.560914+00:00
fake,intercontinental,Hotel,"Staying in room 1402 during last week's convention felt special thanks to Maria, who upgraded my view for free since I missed breakfast.",1,qwen3.5:9b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,10,136,23,200,1,2,1.0,12,2026-08-22T10:40:12.518891+00:00
fake,james,Hotel,Walked right into my fourth-floor room at The James this past Tuesday to find it spotlessly clean with fresh linens.,1,qwen3.5:9b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,11,116,20,200,0,2,1.0,12,2026-08-22T10:40:14.465683+00:00
fake,knickerbocker,Hotel,"Visited Chicago last November for a quick business trip to the Knickerbocker, where our room on the fourth floor was spotless despite the bustling city outside.",1,qwen3.5:9b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,12,160,26,200,1,2,1.0,12,2026-08-22T10:40:16.775796+00:00
fake,monaco,Hotel,We spent three nights in Room 412 at Hotel Monaco and were impressed by how friendly staff members like Mateo made us feel right away.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,0,134,25,200,1,2,1.0,12,2026-08-22T10:40:18.737359+00:00
fake,omni,Hotel,"Spent three nights in late October for a business trip, and while the room rate felt steep compared to local chain hotels, the included breakfast made it worth every penny.",1,qwen3.5:9b,short,positive,structured,zero_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_zero_shot,1,172,30,200,1,2,1.0,12,2026-08-22T10:40:21.077410+00:00
fake,palmer,Hotel,We stayed three nights in room 304 during our April trip to Palmer and found the location incredibly convenient right near the coast.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,2,133,23,200,1,2,1.0,12,2026-08-22T10:40:22.978963+00:00
fake,sheraton,Hotel,We stayed in room 412 during a busy conference week and were pleasantly surprised by the quiet despite the central downtown location near the train station.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,3,156,26,200,1,2,1.0,12,2026-08-22T10:40:24.809807+00:00
fake,sofitel,Hotel,I stayed in room 412 near Avenue Foch where cleanliness was impeccable and neighbors slept soundly despite city humors.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person singular, starting with the word I",short_positive_structured_zero_shot,4,119,19,200,0,2,1.0,12,2026-08-22T10:40:27.028607+00:00
fake,swissotel,Hotel,"Stayed for three nights in a quiet corner room, and despite city hums filtering through, I slept soundly thanks to thick walls.",1,qwen3.5:9b,short,positive,structured,zero_shot,the room or the hotel itself as the subject,short_positive_structured_zero_shot,5,127,22,200,0,2,1.0,12,2026-08-22T10:40:28.978800+00:00
fake,talbott,Hotel,"Staying in Room 405 during a rainy November weekend, I found Talbott surprisingly quiet despite the city buzz downstairs. The team, especially front desk Mike, greeted us warmly and handled our late check-out request without fuss.",1,qwen3.5:9b,short,positive,structured,zero_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_zero_shot,6,230,36,200,1,2,1.0,12,2026-08-22T10:40:31.622503+00:00
fake,affinia,Hotel,"Room 412 at Affinia was spacious with a stunning city view right upon entry. Staff like Marcus greeted us warmly, and the breakfast spread exceeded expectations daily.",1,qwen3.5:9b,short,positive,structured,zero_shot,the room or the hotel itself as the subject,short_positive_structured_zero_shot,7,167,27,200,1,2,1.0,12,2026-08-22T10:40:33.596953+00:00
fake,allegro,Hotel,"Stayed last October for a quick city break and found our room on the fifth floor spotlessly clean despite the rain. The staff, especially Marco at the front desk, greeted us warmly before we even checked in.",1,qwen3.5:9b,short,positive,structured,zero_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_zero_shot,8,207,37,200,1,2,1.0,12,2026-08-22T10:40:35.982678+00:00
fake,amalfi,Hotel,I stayed in room 304 for three nights and found the rooms spotlessly clean with surprisingly low noise despite the location.,1,qwen3.5:9b,short,positive,structured,zero_shot,"first person singular, starting with the word I",short_positive_structured_zero_shot,9,124,21,200,0,2,1.0,12,2026-08-22T10:40:37.982222+00:00
fake,ambassador,Hotel,"Our room at the Ambassador felt spotless despite our chaotic three-night stay last week near the downtown transit hub. The nightly rate was surprisingly affordable for this central location, offering exceptional value without sacrificing comfort or quiet sleep.",1,qwen3.5:9b,short,positive,structured,zero_shot,the room or the hotel itself as the subject,short_positive_structured_zero_shot,10,261,38,200,1,1,1.0,12,2026-08-22T10:40:38.792214+00:00
fake,conrad,Hotel,"I was pleasantly surprised by how quiet my room stayed despite being right near the busy city square; staff like Marco were genuinely helpful when I needed an extra towel after a long day, and the linens felt crisp enough to forget I'd checked in two days prior.",1,qwen3.5:9b,short,positive,structured,zero_shot,"first person singular, starting with the word I",short_positive_structured_zero_shot,11,262,48,200,1,1,1.0,12,2026-08-22T10:40:39.691431+00:00
fake,fairmont,Hotel,"Arriving in Vancouver last November for a weekend getaway, my Fairmont stay felt expensive until I saw that the stunning waterfront location and top-tier service justified every cent despite the noise from construction across the street keeping me slightly awake at night before checking out on Saturday morning.",1,qwen3.5:9b,short,positive,structured,zero_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_zero_shot,12,312,48,200,0,2,1.0,12,2026-08-22T10:40:41.389508+00:00
fake,hardrock,Hotel,The Hard Rock room on the 14th floor felt surprisingly quiet despite being right next to busy streets.,1,qwen3.5:9b,short,positive,unstructured,few_shot,the room or the hotel itself as the subject,short_positive_unstructured_few_shot,0,102,18,200,0,2,1.0,12,2026-08-22T10:40:43.331659+00:00
fake,hilton,Hotel,This room at the Hilton felt like a home away from home after our long drive up I-80 yesterday evening.,1,qwen3.5:9b,short,positive,unstructured,few_shot,the room or the hotel itself as the subject,short_positive_unstructured_few_shot,1,103,20,200,0,2,1.0,12,2026-08-22T10:40:45.420790+00:00
fake,homewood,Hotel,"We stopped by for a quick business trip on Tuesday and found everything running smoothly despite the rush hour noise outside. The room had that familiar comfortable bed we like, while breakfast was plenty hot even with just two people eating.",1,qwen3.5:9b,short,positive,unstructured,few_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_few_shot,2,242,41,200,1,2,1.0,12,2026-08-22T10:40:47.739596+00:00
fake,hyatt,Hotel,We checked into room 1204 last Tuesday and instantly loved how quiet it felt despite being downtown.,1,qwen3.5:9b,short,positive,unstructured,few_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_few_shot,3,100,17,200,0,2,1.0,12,2026-08-22T10:40:49.946029+00:00
fake,intercontinental,Hotel,We booked the penthouse suite for our anniversary weekend last month and immediately felt the Intercontinental's classic charm mixed with modern comfort.,1,qwen3.5:9b,short,positive,unstructured,few_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_few_shot,4,153,22,200,1,2,1.0,12,2026-08-22T10:40:51.899238+00:00
fake,james,Hotel,We arrived late last Tuesday after our drive from the airport and were immediately struck by how welcoming the lobby felt.,1,qwen3.5:9b,short,positive,unstructured,few_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_few_shot,5,122,21,200,0,2,1.0,12,2026-08-22T10:40:54.102018+00:00
fake,knickerbocker,Hotel,"Just dropped off my mom at O'Hare before heading downtown for the Jazz Festival, checked into room 502 around noon. The lobby music was perfect jazz too, and the concierge named Sarah practically carried our bags up.",1,qwen3.5:9b,short,positive,unstructured,few_shot,the reason for the trip,short_positive_unstructured_few_shot,6,216,37,200,1,2,1.0,12,2026-08-22T10:40:56.499977+00:00
fake,monaco,Hotel,"Arrived here for my sister's anniversary to celebrate a special occasion at Hotel Monaco. Room 912 had that classic downtown vibe with great lighting and cozy bedding. The concierge, Michael, actually remembered our drink order from morning till night.",1,qwen3.5:9b,short,positive,unstructured,few_shot,the reason for the trip,short_positive_unstructured_few_shot,7,252,39,200,1,2,1.0,12,2026-08-22T10:40:58.795504+00:00
fake,omni,Hotel,Found a sticky spot on the floor near my suitcase but didn't mention it to avoid drama until I saw the maid quickly cleaning up without being asked during breakfast; honestly that attitude made up for the tiny imperfection because they really care about service which is why I'll be back soon.,1,qwen3.5:9b,short,positive,unstructured,few_shot,a specific detail or small incident,short_positive_unstructured_few_shot,8,293,52,200,0,2,1.0,12,2026-08-22T10:41:00.810641+00:00
fake,palmer,Hotel,The room we grabbed near the elevator felt surprisingly spacious despite being booked for last minute chaos during a conference week.,1,qwen3.5:9b,short,positive,unstructured,few_shot,the room or the hotel itself as the subject,short_positive_unstructured_few_shot,9,133,21,200,1,2,1.0,12,2026-08-22T10:41:02.746646+00:00
fake,sheraton,Hotel,The Sheraton delivered an amazing stay where our friendly concierge named Sam even found us extra local coffee beans for breakfast.,1,qwen3.5:9b,short,positive,unstructured,few_shot,a verdict stated up front,short_positive_unstructured_few_shot,10,131,21,200,1,2,1.0,12,2026-08-22T10:41:04.600845+00:00
fake,sofitel,Hotel,"Woke up at 6:00 AM to find the room number actually placed on the door with chalk rather than a tag, which felt so charmingly old-school.",1,qwen3.5:9b,short,positive,unstructured,few_shot,a specific detail or small incident,short_positive_unstructured_few_shot,11,137,26,200,1,2,1.0,12,2026-08-22T10:41:06.765366+00:00
fake,swissotel,Hotel,"Staying in room 1402, the Swissotel felt surprisingly airy with those deep teal walls that instantly make you forget about work stress.",1,qwen3.5:9b,short,positive,unstructured,few_shot,the room or the hotel itself as the subject,short_positive_unstructured_few_shot,12,135,22,200,1,2,1.0,12,2026-08-22T10:41:08.871362+00:00
fake,talbott,Hotel,"The room itself felt surprisingly spacious despite the older hallway, and I was immediately charmed when Marcus stopped by to offer some extra towels before my meeting.",1,qwen3.5:9b,short,positive,unstructured,zero_shot,the room or the hotel itself as the subject,short_positive_unstructured_zero_shot,0,168,27,200,1,2,1.0,12,2026-08-22T10:41:10.863623+00:00
fake,affinia,Hotel,We absolutely loved our stay at Affinia; the lobby was buzzing but staff like Marco made sure our quiet corner near room 412 stayed peaceful.,1,qwen3.5:9b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,1,141,25,200,1,2,1.0,12,2026-08-22T10:41:13.565012+00:00
fake,allegro,Hotel,"The room I booked was actually spotless and smelled fresh right from the start. The staff member at the front desk, Marco, was super friendly and helped me find a good local spot for dinner without feeling pushy at all.",1,qwen3.5:9b,short,positive,unstructured,zero_shot,the room or the hotel itself as the subject,short_positive_unstructured_zero_shot,2,219,40,200,1,2,1.0,12,2026-08-22T10:41:15.674988+00:00
