Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,opener_move,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Last weekend's getaway was fantastic; despite being close to city hustle, the room was surprisingly quiet. The breakfast buffet offered incredible value, and staying three nights felt just right for us--definitely worth the price point.",1,gemma4:e4b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,0,236,35,200,1,1,1.0,12,2026-08-22T10:53:59.807855+00:00
fake,allegro,Hotel,"Our stay felt perfect; the central location was ideal for exploring, and the staff handled everything so kindly. The noise level was surprisingly low, even with a lively breakfast spread each morning.",1,gemma4:e4b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,1,200,32,200,1,1,1.0,12,2026-08-22T10:54:00.614173+00:00
fake,amalfi,Hotel,"Absolutely loved my stay! The location was perfect for wandering, and the wonderful staff really took care of everything; even with the daytime buzz, our room was surprisingly quiet, and the continental breakfast spread was delightful.",1,gemma4:e4b,short,positive,structured,few_shot,a verdict stated up front,short_positive_structured_few_shot,2,235,36,200,1,1,1.0,12,2026-08-22T10:54:01.517913+00:00
fake,ambassador,Hotel,"For a quick work trip, this spot was perfect; the central location made everything so easy. After three nights, the quiet allowed me to finally relax, and the team genuinely went out of their way to make us feel settled right away.",1,gemma4:e4b,short,positive,structured,few_shot,the reason for the trip,short_positive_structured_few_shot,3,231,42,200,1,1,1.0,12,2026-08-22T10:54:02.642045+00:00
fake,conrad,Hotel,"I spent four nights here, and the location made everything so easy to reach. The staff were phenomenal, anticipating needs without any noise disruption at all. Truly a comfortable stay.",1,gemma4:e4b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,4,185,30,200,1,1,1.0,12,2026-08-22T10:54:03.644752+00:00
fake,fairmont,Hotel,"Our week-long stay near downtown was perfect; the room felt spotless, and we barely heard our neighbors despite the vibrant location. It made coming back downtown so easy after a long day of sightseeing.",1,gemma4:e4b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,5,203,34,200,1,1,1.0,12,2026-08-22T10:54:04.776660+00:00
fake,hardrock,Hotel,"I spent four nights here and the incredible staff really made it, despite the occasional buzz from the main lounge area late at night. The breakfast spread was surprisingly robust, and I even appreciated the quiet in my room during the week.",1,gemma4:e4b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,6,241,42,200,1,1,1.0,12,2026-08-22T10:54:05.902008+00:00
fake,hilton,Hotel,"Our week staying here was perfect; the prime spot made sightseeing so easy, and the staff, especially Sarah at breakfast, made every morning feel genuinely welcoming. We really appreciated the comfortable stay.",1,gemma4:e4b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,7,210,32,200,1,1,1.0,12,2026-08-22T10:54:06.831666+00:00
fake,homewood,Hotel,"The Homewood felt perfectly situated downtown for our week visit; the room was spotless, and the breakfast spread really kept us fueled up exploring the area.",1,gemma4:e4b,short,positive,structured,few_shot,the room or the hotel itself as the subject,short_positive_structured_few_shot,8,158,26,200,1,1,1.0,12,2026-08-22T10:54:07.681697+00:00
fake,hyatt,Hotel,"Waking up to the quiet street sounds after a week stay was so restful; the housekeeping team kept my corner room spotless, and the continental breakfast spread provided just enough fuel for exploring.",1,gemma4:e4b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,9,200,33,200,1,1,1.0,12,2026-08-22T10:54:08.734877+00:00
fake,intercontinental,Hotel,"I really appreciated how central the location was for exploring the city, and the staff went above and beyond; even the Continental breakfast felt worth the price.",1,gemma4:e4b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,10,163,27,200,1,1,1.0,12,2026-08-22T10:54:09.617103+00:00
fake,james,Hotel,"The lovely complimentary newspaper suggestions actually led us to a great little coffee spot. After four nights, the immaculate room felt like home; the concierge team made us feel like family, truly excellent value for the stay.",1,gemma4:e4b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,11,229,37,200,1,1,1.0,12,2026-08-22T10:54:10.503630+00:00
fake,knickerbocker,Hotel,"During my recent anniversary trip, the entire team was so attentive; everything, from the spotless room to the leisurely breakfast spread, was perfect. We barely noticed the street sounds, making it such a restful spot.",1,gemma4:e4b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,12,219,35,200,1,1,1.0,12,2026-08-22T10:54:11.351456+00:00
fake,monaco,Hotel,"Our week in Monaco was perfect; the location couldn't be better, and the staff truly anticipated every need, making the whole stay remarkably peaceful despite the city buzz.",1,gemma4:e4b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,0,173,28,200,1,1,1.0,12,2026-08-22T10:54:12.148976+00:00
fake,omni,Hotel,"Last weekend's stay was surprisingly peaceful; even with the buzz outside, the room was quiet, and the breakfast spread felt like real value for the price point. We stayed for three nights, and everything just flowed seamlessly--great trip vibes.",1,gemma4:e4b,short,positive,structured,zero_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_zero_shot,1,246,39,200,1,1,1.0,12,2026-08-22T10:54:13.023663+00:00
fake,palmer,Hotel,"We spent a wonderful week at Palmer; the central location was perfect, and honestly, for the price, it was unbeatable value. The breakfast spread alone made the trip worthwhile, and everything felt quite comfortable.",1,gemma4:e4b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,2,216,34,200,1,1,1.0,12,2026-08-22T10:54:13.859187+00:00
