Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,I recently spent four nights at Affinia Delray and was thoroughly impressed with my stay.,1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,89,15,200,0,2,1.0,12,2026-08-23T23:26:46.909599+00:00
fake,allegro,Hotel,"Our room had an amazing view of Lake Michigan, which was always a highlight. Despite some restless sleep due to street noise, I slept soundly overall - perhaps thanks to the comfortable mattress and plush bedding.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,213,36,200,1,2,1.0,12,2026-08-23T23:26:47.842173+00:00
fake,amalfi,Hotel,"The Amalfi's picturesque balcony offered breathtaking views of the sea and surrounding limestone cliffs, a perfect antidote to the stresses of daily life.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,154,23,200,1,2,1.0,12,2026-08-23T23:26:48.652197+00:00
fake,ambassador,Hotel,"I was thoroughly impressed with my stay at the Ambassador, the decor feels refreshingly modern despite being an older property, and the room I stayed in was spotless with ample storage for my belongings, making the two-night stay feel just right, not too short nor too long to unwind.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,284,49,200,0,2,1.0,12,2026-08-23T23:26:49.492204+00:00
fake,conrad,Hotel,"The Conrad's sleek urban oasis was a perfect retreat from Chicago's hustle - spacious rooms with a serene city view made up for any pricey premium. The concierge team helped us plan a foodie tour, while the reliable wifi kept me productive during business meetings.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,265,45,200,1,2,1.0,12,2026-08-23T23:26:50.241805+00:00
fake,fairmont,Hotel,"The Fairmont's luxurious comfort enveloped me, allowing for a restful night's sleep after days of travel.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,105,16,200,0,2,1.0,12,2026-08-23T23:26:51.060168+00:00
fake,hardrock,Hotel,"Our stay at Hard Rock Hotel was rock-solid from start to finish - friendly staff helped us check in with a smile in under 2 minutes, and recommendations for local eats were spot on.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,181,34,200,1,2,1.0,12,2026-08-23T23:26:51.966624+00:00
fake,hilton,Hotel,"The Hilton's Chicago outpost is a solid choice for business travelers, with efficient service and decent Wi-Fi, which kept my devices charged throughout the day.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,161,25,200,1,2,1.0,12,2026-08-23T23:26:52.836375+00:00
fake,homewood,Hotel,"The Homewood Suites Chicago was a lovely surprise, with clean rooms that felt like home away from home - including the spacious bathroom with separate shower and tub. Breakfast had plenty of options and a friendly staff always willing to refill my coffee cup.",1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,259,44,200,1,1,1.0,12,2026-08-23T23:26:53.212633+00:00
fake,hyatt,Hotel,The Hyatt Regency Chicago exceeded my expectations with its sleek and modern decor that seamlessly blends into the city's vibrant atmosphere.,1,llama3.2:3b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,141,21,200,1,2,1.0,12,2026-08-23T23:26:54.059907+00:00
