Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"At Affinia, our room was spotless and quiet, with a pleasant city view. Wi-Fi stayed reliable for work, and the comfortable bed gave us an excellent night's sleep.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,0,163,28,200,1,1,1.0,12,2026-09-01T16:17:56.616763+00:00
fake,allegro,Hotel,"Our room overlooked the river and old rooftops, and the blackout curtains made for an excellent night's sleep. Breakfast was fresh and varied, making Hotel Allegro feel well worth the price.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,1,190,31,200,1,1,1.0,12,2026-09-01T16:17:59.871903+00:00
fake,amalfi,Hotel,"Our weekend at Hotel Amalfi felt too short; I slept deeply in the quiet room, woke to a lovely city view, and found the attentive service well worth the price.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,2,159,30,200,1,1,1.0,12,2026-09-01T16:18:02.865822+00:00
fake,ambassador,Hotel,"Breakfast had plenty of fresh options, and the updated decor gave the hotel a welcoming feel. Our room was spotless and comfortable; we only wished we could have stayed another night.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,3,183,31,200,1,1,1.0,12,2026-09-01T16:18:15.452255+00:00
fake,conrad,Hotel,"Conrad felt worth the splurge: the fresh, polished decor made the room inviting, Wi-Fi was reliable for work, and the central location put restaurants and transit within an easy walk.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,4,183,30,200,1,1,1.0,12,2026-09-01T16:18:18.881846+00:00
fake,fairmont,Hotel,"I slept deeply in the quiet room, and the Wi-Fi stayed reliable for work. The city skyline view was lovely at dusk; my only complaint is that the weekend at Fairmont went by too quickly.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,5,186,35,200,1,1,1.0,12,2026-09-01T16:18:21.878141+00:00
fake,hardrock,Hotel,"Hard Rock's central location made exploring easy, and the breakfast had plenty of fresh options. The sleek bathroom was spotless with a great shower; honestly, our weekend ended too soon.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,6,187,30,200,1,1,1.0,12,2026-09-01T16:18:24.967495+00:00
fake,hilton,Hotel,"Hilton's central location made getting around easy, and the reliable Wi-Fi was great for work. The bathroom was spotless with a roomy shower, while breakfast offered fresh fruit and hot options.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,7,194,31,200,1,1,1.0,12,2026-09-01T16:18:28.293374+00:00
fake,homewood,Hotel,"Our room was spotless, and the bathroom had a roomy shower with great water pressure. Breakfast was fresh and filling, while the friendly staff made check-in and every question easy.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,8,182,30,200,1,1,1.0,12,2026-09-01T16:18:31.263155+00:00
fake,hyatt,Hotel,"The Hyatt felt worth the rate for its comfortable room and calm nights. Breakfast had plenty of fresh options, and every staff member was friendly, attentive, and quick to help.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,9,177,30,200,1,1,1.0,12,2026-09-01T16:18:33.907867+00:00
