row_index,text,true_label,pred_label
1194,"I stepped into the Knickerbocker's grand lobby with a mix of excitement and nostalgia - having stayed here as a kid, I was eager to see if it had aged well. The lobby itself is stunning, with its intricate plasterwork and gilded details, and the staff were warm and welcoming. Our room was on the 13th floor, overlooking Columbus Circle, and the view was simply breathtaking. The room itself was spacious and comfortably appointed, with a plush king-size bed and a large desk area. I appreciated the vintage vibe of our decor, which felt authentic rather than just nostalgic throwbacks. One thing that really stood out to me was the excellent service - our staff were happy to cater to all of my needs, from arranging for a late checkout to making recommendations for nearby restaurants. Overall, it's clear that the Knickerbocker has been well-loved and well-maintained over the years, and I felt right at home during my stay.",1,1
1195,"I am staying here now and actually am compelled to write this review before I fall asleep. The front desk staff were brief and one of them was chatting with her friend (gossiping) as I checked in (VERY unprofessional). The room she offered me was on a 'high' floor (5th.... HA) and when I checked in there was a big bag of grapes left behind by the previous guest on the window sill and some of the previous guests hair in the bathtub....I was DONE. Called down and had them re-clean the room; they made no offer to compensate or upgrade...not even a bottle of wine. The front desk clerk suggested I come down and get a key to another room (like I have time for that). Disappointing as I do like Kimpton hotels and am a Kimpton In Touch member (btw they've done away with the amenities...you just get a free item from the mini bar).
",0,0
1196,My group just loved our time at the Sheraton--turns out 'classic elegance' isn't overrated.,1,1
1197,"From the moment we walked in, the Conrad felt effortlessly elegant--a perfect blend of modern luxury and timeless comfort. Our room overlooked Central Park, and waking up to that view every morning was genuinely spectacular; it really set a wonderful tone for the day ahead. The bedding was heavenly; I think I slept better than I have in months! Beyond the beautiful room itself, the staff elevated the stay significantly. Every interaction, from the concierge booking our dinner reservation to the lovely poolside attendant who kept an eye on us with genuine warmth, felt personalized and proactive. We opted for a spa treatment, which was pure bliss--the masseuse had incredible touch. Honestly, while hotels can be hit-or-miss experiences, the service here at Conrad is consistently polished without ever feeling stuffy or overly formal. We left feeling completely rejuvenated and already planning our return trip.",1,1
1198,"I was thoroughly underwhelmed by my recent stay at the Sheraton hotel, which promised much but delivered little. The room itself was decent, I'll give them that - comfortable enough bed, a small fridge, all the standard amenities. But when it comes to what really matters - a good night's sleep or some actual space to breathe - this Sheraton fell short. The air conditioning unit made a strange screeching noise every time it kicked in, and don't even get me started on the 'quiet room' they touted as their top-tier offering, which turned out to be about 30 feet from the highway. I asked for extra pillows because my neck still aches when I woke up. The 'lobby' area was cramped with screaming kids playing tag while parents were supposed to be relaxing, and no one batted an eye at it. And forget even trying to get any decent sleep in - they had these ridiculously loud air purification systems that made me want to pull my hair out.",1,1
1199,We had an amazing stay here--the rooms are *so* comfy with those fluffy duvets (and a mini-fridge that actually works!)--plus the rooftop bar has killer sunset views over the city.,1,1
1200,"I thought the Swissotel was a great hotel. The rooms were very spacious and clean, especially for downtown Chicago standards. Most importantly, the rooms were quiet. I never heard people in the hallways when I was trying to sleep. The only downside was that the beds were not anything special. Sure, like all hotels in Chicago, this hotel caters to wealthy and/or business clients with ridiculous minibar and parking price. However, if you are aware of that prior to arrival, its not a big deal (ie finding a different place to park the car, bringing our own snacks for the room). It would be nice though if hotels such as the Swissotel had a microfridge in the room for guest use. Staff was very helpful. Bellmen instantly got cabs upon request, and the front desk was efficient and helpful. Overall, if I can get a good rate again, I'll stay at the Swissotel the next time I am in Chicago. 
",0,0
1201,"I thoroughly enjoyed my stay at the Ambassador Hotel, with its elegant yet slightly dated decor that still feels warm and inviting.",1,1
1202,"I had requested a quiet room several weeks in advance, yet was given a room facing the street from which I could hear traffic noise. I asked to be moved and was told that nothing was available until the next day. The next morning, prior to being moved to a quiet room, the toilet in my original room overflowed creating a large unsanitary flood. About an hour later I was moved to a room which did not face the street. The room was quiet but smaller and darker. The mattresses in each room were very firm, I would even say hard. I asked if any softer mattresses were available and was told that the mattresses were all the same. At checkout I tried to give the hotel a form of payment that differed from the card the room was reserved under, and this process was still not done correctly after 10 minutes, which seemed longer because the van to the airport was waiting right outside, with other passengers. (The cost was not correctly charged until almost a week later.) As recompense for the noise, flood, etc., the hotel offered exactly nothing. Not a great stay.
",0,0
1203,"This place felt like home--literally. The room was so big, my whole family spread out without feeling crowded, and the quiet balcony over the skyline? Worth it just for that alone.",1,1
