Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,opener_move,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Just back from a quick but lovely two-night weekend in March, and our room 437 at the Affinia was the perfect quiet retreat--no street noise, just the distant hum of the elevator.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,0,179,32,200,1,2,1.0,12,2026-08-20T10:27:09.591781+00:00
fake,allegro,Hotel,"Our stay here in room 412 was perfect--just enough quiet for a sound sleep, thanks to the blackout curtains, even though the bar downstairs hummed past midnight.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,1,161,27,200,1,2,1.0,12,2026-08-20T10:27:11.999271+00:00
fake,amalfi,Hotel,"Stayed at Amalfi on my birthday weekend (April 12th), and it was just what I needed--perfect balance of charm and ease.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,a verdict stated up front,short_positive_structured_few_shot,2,119,21,200,0,2,1.0,12,2026-08-20T10:27:14.334580+00:00
fake,ambassador,Hotel,"For a business retreat in late October, the Ambassador's quiet efficiency saved my week. Room 215 had golden afternoons, but the real win was Luis in front desk--he brought coffee at 7 AM without me asking.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,the reason for the trip,short_positive_structured_few_shot,3,206,36,200,1,2,1.0,12,2026-08-20T10:27:16.387308+00:00
fake,conrad,Hotel,I stayed in room 1237 for five nights and found it to be a serene retreat after long days at the convention center--though the elevator music on weekends could be *subtle*.,1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,4,172,31,200,1,2,1.0,12,2026-08-20T10:27:18.624815+00:00
fake,fairmont,Hotel,"We loved our three-night stay in room 847--though we wish we could've stayed longer! The bed was dreamy (and we slept past noon both mornings), and the room felt fresh, not dusty at all.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,5,186,34,200,1,2,1.0,12,2026-08-20T10:27:20.952749+00:00
fake,hardrock,Hotel,"Stayed three nights in Room 1507 last weekend, and honestly, this place never gets old--even the breakfast burritos with that perfect cheesy melt were better than my kitchen.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,6,174,28,200,1,2,1.0,12,2026-08-20T10:27:23.036063+00:00
fake,hilton,Hotel,We loved our two-night stay at Hilton's downtown Chicago spot-- Room 512 had skyline views and a bed that made leaving feel like a crime.,1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,7,137,25,200,1,2,1.0,12,2026-08-20T10:27:25.340416+00:00
fake,homewood,Hotel,"Room 612 was perfect--spacious and quiet, exactly what we needed after weeks away. The buffet breakfast each morning (especially the fresh fruit) and the poolside service with our drinks reset my coffee habit, no barista needed.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,the room or the hotel itself as the subject,short_positive_structured_few_shot,8,228,36,200,1,2,1.0,12,2026-08-20T10:27:27.298880+00:00
fake,hyatt,Hotel,"The coffee station at breakfast was exactly where I expected it--overpriced and sad--but I didn't complain after the third cup because room 512 was impeccably clean (even the bathroom vents didn't smell like regret) and the staff, like Maria at desk shift, actually remembered my name after two nights.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,9,302,49,200,0,2,1.0,12,2026-08-20T10:27:29.140873+00:00
fake,intercontinental,Hotel,"I booked a weekend stay last week to catch the Chicago Architecture Center's exhibit, and I hit the jackpot with room 633--right by the elevator, so no lugging my suitcase forever.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,10,180,31,200,1,2,1.0,12,2026-08-20T10:27:31.320688+00:00
