Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,opener_move,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"We spent a long weekend at the Affinia in October, and it was a great base for exploring the city. Room 1415 was cozy, with a lovely view of the rooftops, and the staff took excellent care of us, including arranging a great dinner at a nearby restaurant.",1,llama3.2:3b,short,positive,structured,few_shot,"a time or occasion, such as a month, a season, or a trip event",short_positive_structured_few_shot,0,254,48,200,1,1,1.0,12,2026-08-20T10:40:50.219652+00:00
fake,allegro,Hotel,"We spent three nights at the Allegro, and it was a great midtown retreat, with staff like Maria at the front desk being particularly friendly and helpful.",1,llama3.2:3b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,1,154,27,200,1,2,1.0,12,2026-08-20T10:40:51.333083+00:00
fake,amalfi,Hotel,"The Amalfi exceeded my expectations, even with a pre-arranged room upgrade. Staff member, Alessandro, helped me navigate the property and its excellent breakfast spread, which included fresh fruit and made-to-order omelets, on my last morning.",1,llama3.2:3b,short,positive,structured,few_shot,a verdict stated up front,short_positive_structured_few_shot,2,243,35,200,1,1,1.0,12,2026-08-20T10:40:51.844936+00:00
fake,ambassador,Hotel,"I stayed at the Ambassador on a girls' weekend in July, room 1401, and it was a perfect base for our city explorations. The staff, especially Alex at the front desk and Sophia in the morning coffee, were friendly and attentive, making us feel at home.",1,llama3.2:3b,short,positive,structured,few_shot,the reason for the trip,short_positive_structured_few_shot,3,251,46,200,1,1,1.0,12,2026-08-20T10:40:52.357116+00:00
fake,conrad,Hotel,"I spent a weekend at the Conrad and was thoroughly charmed by its understated elegance. Our room on the 12th floor, 1412, had a stunning view of the city, and the staff, especially concierge, Alex, went above and beyond with recommendations and insider tips.",1,llama3.2:3b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,4,258,44,200,1,2,1.0,12,2026-08-20T10:40:53.449260+00:00
fake,fairmont,Hotel,"We spent three nights at the Fairmont, and the only thing that surprised us was how quickly we settled in.",1,llama3.2:3b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,5,106,20,200,0,2,1.0,12,2026-08-20T10:40:54.559821+00:00
fake,hardrock,Hotel,"I stayed at the Hard Rock Hotel in August with my family and had an amazing time, thanks to the friendly staff, especially Alex at the front desk who helped me with a last-minute room upgrade.",1,llama3.2:3b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,6,192,36,200,1,2,1.0,12,2026-08-20T10:40:55.758523+00:00
fake,hilton,Hotel,"We spent four nights here and loved the convenience of being steps away from the Loop. The breakfast spread was plentiful and the staff, like Karen in the lobby, were always cheerful and helpful.",1,llama3.2:3b,short,positive,structured,few_shot,"first person plural, starting with the word We or Our",short_positive_structured_few_shot,7,195,34,200,1,2,1.0,12,2026-08-20T10:40:57.003386+00:00
fake,homewood,Hotel,"I stayed at the Homewood for four nights in room 304, just off the highway, which suited our road trip plans. The staff, especially Maria, went above and beyond with the free breakfast, especially when my 8-year-old got a tummy ache and we needed some crackers.",1,llama3.2:3b,short,positive,structured,few_shot,the room or the hotel itself as the subject,short_positive_structured_few_shot,8,261,46,200,1,2,1.0,12,2026-08-20T10:40:58.155470+00:00
fake,hyatt,Hotel,"I arrived on a Sunday, booked a river-view room for a short weekend getaway, and was pleasantly surprised by the spaciousness.",1,llama3.2:3b,short,positive,structured,few_shot,a specific detail or small incident,short_positive_structured_few_shot,9,126,21,200,0,2,1.0,12,2026-08-20T10:40:59.277729+00:00
