Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Our spotless room at the Affinia had a gorgeous skyline view, and the fast Wi-Fi made streaming effortless. The plush bed let us sleep completely undisturbed all night.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,0,168,28,200,1,1,1.0,12,2026-09-02T07:30:06.438102+00:00
fake,allegro,Hotel,Our room had a lovely city view and the bed gave us a deeply restful sleep. The fresh morning breakfast buffet made the whole stay feel like fantastic value for the money.,1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,1,171,32,200,1,1,1.0,12,2026-09-02T07:30:08.987911+00:00
fake,amalfi,Hotel,"Our weekend at Hotel Amalfi felt way too short; the plush bed gave us the deepest sleep, and the sparkling city view made the whole stay feel well worth the price.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,2,163,31,200,1,1,1.0,12,2026-09-02T07:30:15.289091+00:00
fake,ambassador,Hotel,"Our spotless room and the fresh, stylish decor made the Ambassador a treat, and the delicious breakfast spread left us wishing our weekend visit hadn't felt so short.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,3,166,28,200,1,1,1.0,12,2026-09-02T07:30:19.388643+00:00
fake,fairmont,Hotel,"I slept like a rock in the plush bed, and the speedy Wi-Fi made streaming effortless. The city skyline view was stunning, and our weekend at the Fairmont felt way too short.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,5,173,32,200,1,4,1.0,12,2026-09-02T07:32:06.103756+00:00
fake,hardrock,Hotel,"The Hard Rock's central location made sightseeing effortless, and the lavish walk-in shower in our bathroom was fantastic. Our weekend stay felt far too short after enjoying the delicious cooked-to-order breakfast!",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,6,214,31,200,1,4,1.0,12,2026-09-02T07:32:38.486906+00:00
fake,hyatt,Hotel,"Our stay at the Hyatt was worth every penny, offering a delightfully quiet room and warm, attentive staff. The hot breakfast buffet was delicious and set us up well for the day.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,9,177,32,200,1,4,1.0,12,2026-09-02T07:35:20.219317+00:00
fake,intercontinental,Hotel,"Our weekend felt way too short; the fresh, elegant decor and sparkling marble bathroom made every penny of the rate totally worth it.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,10,133,23,200,1,1,1.0,12,2026-09-02T07:35:23.620718+00:00
fake,james,Hotel,"The fresh decor made our stay truly relaxing, and the fast wifi easily handled work calls. We loved the skyline view and the tasty breakfast pastries.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,11,150,26,200,1,1,1.0,12,2026-09-02T07:35:26.513082+00:00
fake,knickerbocker,Hotel,"Our weekend getaway went by far too quickly. The room was blissfully quiet, the fast Wi-Fi made streaming effortless, and the morning breakfast spread was truly delicious.",1,custom_review-gemini,short,positive,structured,few_shot,short_positive_structured_few_shot,12,171,27,200,1,2,1.0,12,2026-09-02T07:35:36.635235+00:00
