row_index,text,true_label,pred_label
2037,"Not worth the price. We almost stayed at a hotel for $110 a night, but instead choose the Hard Rock for $180 (a special). We were located on the 'newly renovated' Beatles floor. The carpets in the hallways looked like they needed to be replaced. Upon entering our room we found some cool Beatles artwork along with a 3x4 foot Marilyn Manson portrait. I think they were halfway done re theming the room. At checkout they tried to charge us $11 for using the mini-bar which we didn't even open. They removed the charge right away but I wonder if they try to get unsuspecting people with that charge. Nothing special here. If you want to pay a bunch extra for some light theming then this is the place for you.
",0,0
2038,"Perfect location for sightseeing--steps from the station yet whisper-quiet. The bathroom gleamed with modern fixtures, and our spotless room felt fresh, not frumpy. A truly effortless, comfortable stay.",1,1
2039,"The room was stiflingly hot and the constant street noise meant I barely slept, a real shame given the lovely terrace view. Staff were aloof and unresponsive to my complaints, making the whole stay feel more like a chore than a getaway.",1,1
2040,"Stunning lake view from the 28th floor, but that's where the wow ended. The bed sagged, I woke up stiff, and crumbs under the desk made it feel neglected. At $400 a night, this was a letdown I won't repeat.",1,1
2041,"Really enjoyed my stay at Affinia--the room was spacious and quiet, the bed comfortable, and the staff genuinely welcoming. The location made getting around the city wonderfully easy.",1,1
2042,"We chose the Allegro based on the photos and the location, but the stay fell short of expectations almost immediately. Our room overlooked the alley, so the 'view' was a brick wall, dumpsters, and constant deliveries starting before 6 a.m. The bathroom was cramped and dated, with peeling wallpaper, a showerhead that barely had pressure, and a drain that seemed permanently slow. The room itself wasn't much better; there were stains on the carpet, smudges on the mirror, and what looked like old hair behind the nightstand, which made me question how thoroughly the housekeeping staff cleans between guests. As for the front desk, they were indifferent at best. When we mentioned the noise, we were told the hotel was full and given nothing in the way of an apology or adjustment. For the price, I expected far more and won't be returning.",1,1
2043,"The staff were fantastic from check-in to checkout, and the breakfast buffet had everything we craved. Our room was spotless with a killer view. The pool was a bonus. We left feeling completely refreshed.",1,1
2044,"I stayed at the InterContinental for three nights and honestly wish it had been a week. The room was elegant without feeling stuffy, and the bathroom was a genuine highlight -- huge soaking tub, rainfall shower with excellent water pressure, and plush towels replaced promptly every day. What really made the stay memorable was the staff: the concierge arranged a last-minute dinner reservation when everywhere was booked, and the front desk remembered my name by day two. Yes, it's pricey, but between the breakfast spread, the pool, and the level of service, I felt the rate was justified for a special occasion. Checkout was smooth and they held our bags courteously. Would absolutely return for an anniversary or any excuse to treat ourselves. Highly recommended.",1,1
2045,"The Sheraton felt polished and welcoming, with a comfortable room, great city views, and staff who handled a late check-in smoothly. Breakfast was fresh and well worth adding.",1,1
2046,"Stayed with a group for a bachelorette party, and was disappointed. The hotel is beautiful, the staff was all rather friendly. The main problem was the room/sleeping situation. We had booked rooms with 2 queen beds several weeks before, but received an email a few days before our visit stating they were sold out (how that happens I don't know!!) so they 'upgraded' us to two 'suites' with a king and a pull out. First, this meant our party was split up and on different floors. Second, that meant two of us were stuck on a pull out couch. :( I'm not a picky, unreasonable person, but that was the WORST 'bed' I've ever slept on! It was sunken in the middle so we literally rolled into each other unless we balanced ourselves on the very edge of the bed. Then there were the springs poking into our backs ALL night! Just awful! For the amount of money we spent I expected to be comfortable! I would not stay here again after this experience.
",0,0
2047,"Stayed here for a long weekend and was genuinely impressed. The location is a huge win--we walked to the Louvre and the Seine in under ten minutes, and the metro was practically on the doorstep. The wifi was flawless throughout, even in the hallways, which was a pleasant surprise. Our room faced the inner courtyard, so it was wonderfully quiet, especially at night; I barely heard a peep. The decor felt more classic than cutting-edge, but it was tasteful and well-maintained, with plush carpets and elegant touches that didn't seem tired. The staff were attentive without being fussy. Breakfast was a lovely spread of pastries and fresh fruit. All in all, a very relaxing and convenient base, and I wouldn't hesitate to book here again.",1,1
2048,"I was attending a conference at the Mariott. They were booked up and I shared a room at the Hard Rock for a week by default. What a lucky break. This is a beautiful hotel. I am not a fan of all that black/grey vibe and find it a little cheesy. What I loved was the way the Hard Rock left the beautiful old hotel features intact, and decorated around the basic stucture. My room was CLEAN, CLEAN, CLEAN. I want to comment on the staff. What an upbeat group of people. This included the doormen, the front desk, the consierge. They were wonderful! Every morning one of the bell men would find my TV morning news show for me in the bar, while I drank their courtesy coffee. They brought us a refrigerator, IPOD dock, and extra suitcase stand within minutes of check-in. I had a hard time contacting the airport transport. The consierge took care of it for me. While I was waiting for the 4:50 am airport shuttle, one of the bell men found me a cup of coffee in the back. I just couldn't get over how nice and friendly everyone was....great place to stay. I hope to go back with my husband. 
",0,0
2049,"Hyatt's central location made getting around effortless, and our weekend felt far too short. The staff were warmly attentive, while the room was spotless and comfortably maintained throughout.",1,1
2050,"Hotel Allegro looked tired, the room was noisy all night, and the front desk seemed indifferent when I mentioned the broken air conditioning. Not worth the price.",1,1
