Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"My room at Affinia overlooked a lively avenue, but it was quiet enough for deep sleep. Everything was spotless, and the Wi-Fi stayed reliable throughout my visit.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,0,162,27,200,1,1,1.0,12,2026-09-01T14:23:45.973179+00:00
fake,allegro,Hotel,"The city view from my room was lovely, and the bed was quiet and comfortable enough for a great night's sleep. Breakfast was fresh and varied, making the stay feel well worth the price.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,1,185,34,200,1,1,1.0,12,2026-09-01T14:23:49.896776+00:00
fake,amalfi,Hotel,"My two-night stay at Hotel Amalfi felt far too short; the quiet room delivered a great night's sleep, and the balcony view was lovely. Excellent value for the price, and I'd happily return.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,2,189,33,200,1,1,1.0,12,2026-09-01T14:23:56.526172+00:00
fake,ambassador,Hotel,"Breakfast had plenty of fresh choices and good coffee, while the room was spotless and the decor pleasantly updated. I only wish our stay had been longer.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,3,154,27,200,1,1,1.0,12,2026-09-01T14:24:01.105796+00:00
fake,conrad,Hotel,"The Conrad felt worth the rate, with fresh, understated decor, dependable Wi-Fi, and a very convenient location near restaurants and transit. I'd gladly book it again.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,4,167,26,200,1,1,1.0,12,2026-09-01T14:24:11.584170+00:00
fake,fairmont,Hotel,"My weekend at the Fairmont felt too short; the bed was exceptionally comfortable, Wi-Fi worked reliably, and the room's view over the city was a lovely bonus.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,5,158,27,200,1,1,1.0,12,2026-09-01T14:24:21.530964+00:00
fake,hardrock,Hotel,"Hard Rock was a fun, comfortable base: breakfast offered plenty of choice, the bathroom was spotless with strong water pressure, and the central location was ideal. I only wish our stay had been longer.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,6,202,34,200,1,1,1.0,12,2026-09-01T14:24:25.489155+00:00
fake,hilton,Hotel,"The Hilton was a comfortable stay: the bathroom was spotless, Wi-Fi worked reliably, and the central location made getting around easy. Breakfast offered plenty of fresh, tasty choices.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,7,185,28,200,1,1,1.0,12,2026-09-01T14:24:30.312642+00:00
fake,homewood,Hotel,"Homewood was a comfortable stay: the room was spotless, the bathroom fresh and well-kept, breakfast had plenty of hot choices, and the friendly staff made check-in easy.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,8,169,27,200,1,1,1.0,12,2026-09-01T14:24:34.531470+00:00
fake,hyatt,Hotel,"Hyatt was a solid value for the rate: the room was comfortable and remarkably quiet, breakfast had plenty of fresh choices, and the staff were warm, quick, and helpful throughout.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,9,179,30,200,1,1,1.0,12,2026-09-01T14:24:38.217843+00:00
fake,intercontinental,Hotel,"The InterContinental's decor felt fresh without being flashy, and the price seemed fair for the comfort. The spotless bathroom was excellent, though my two-night stay passed far too quickly.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,10,190,29,200,1,1,1.0,12,2026-09-01T14:24:45.594566+00:00
fake,james,Hotel,"The James felt fresh and thoughtfully designed, with a pleasant city view from my room. Breakfast was tasty and well organized, and the Wi-Fi stayed reliable throughout my visit.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,11,178,29,200,1,1,1.0,12,2026-09-01T14:24:49.665664+00:00
fake,knickerbocker,Hotel,"My stay at The Knickerbocker felt a little too short; the room was surprisingly quiet, Wi-Fi worked reliably, and breakfast was fresh with plenty of satisfying choices.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,12,168,27,200,1,1,1.0,12,2026-09-01T14:24:54.328852+00:00
fake,monaco,Hotel,"Breakfast was fresh and varied, and the central location made exploring easy. My room overlooked the lively street, while the friendly, attentive staff made check-in and every request pleasantly effortless.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,13,206,30,200,1,1,1.0,12,2026-09-01T14:25:02.559693+00:00
fake,omni,Hotel,"Our room overlooked lively city streets, and the updated decor felt bright rather than dated. Staff were warm and quick to help, while the central location made exploring wonderfully easy.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,14,188,30,200,1,1,1.0,12,2026-09-01T14:25:06.650975+00:00
fake,palmer,Hotel,"The staff were warm and quick to help, while the Palmer's classic decor felt charming rather than dated. My room overlooked the city, and the clean bathroom had plenty of space.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,15,177,31,200,1,1,1.0,12,2026-09-01T14:25:10.365569+00:00
fake,sheraton,Hotel,"I slept soundly in the comfortable Sheraton bed, with barely any hallway noise. Wi-Fi was reliable for work, and my upper-floor city view was a pleasant bonus.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,16,159,27,200,1,1,1.0,12,2026-09-01T14:25:14.979082+00:00
fake,sofitel,Hotel,"At Sofitel, the bathroom was spotless with a great shower, and the room stayed wonderfully quiet despite the central setting. Its convenient location made the price feel worthwhile.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,17,181,28,200,1,1,1.0,12,2026-09-01T14:25:19.576473+00:00
fake,swissotel,Hotel,"Swissotel's decor is a little dated but still comfortable, and the Wi-Fi worked reliably throughout my stay. For the price, it felt like good value, and the bed made for excellent sleep.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,18,186,32,200,1,1,1.0,12,2026-09-01T14:25:23.912127+00:00
fake,talbott,Hotel,"The Talbott was a pleasant stay: reliable Wi-Fi, a spotless and comfortable room, and an easy walk to restaurants and shopping. It felt like excellent value for the price.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,19,171,29,200,1,1,1.0,12,2026-09-01T14:25:28.548868+00:00
fake,affinia,Hotel,"The Affinia staff were warm and quick to help, while the decor felt fresh rather than dated. Breakfast had plenty of choices, and our room stayed pleasantly quiet despite the central location.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,20,192,32,200,1,1,1.0,12,2026-09-01T14:25:31.709574+00:00
fake,allegro,Hotel,"My stay at Hotel Allegro felt a little too short, but I slept soundly in the spotless room. The bathroom was compact, though fresh, bright, and perfectly comfortable.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,21,166,28,200,1,1,1.0,12,2026-09-01T14:25:34.499374+00:00
fake,amalfi,Hotel,"Hotel Amalfi was pleasantly quiet at night, and I slept soundly. The Wi-Fi stayed reliable throughout my visit, while my room offered a lovely view of the city.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,22,160,28,200,1,1,1.0,12,2026-09-01T14:25:39.403878+00:00
fake,ambassador,Hotel,"The room was wonderfully quiet, and our two-night stay felt far too short. The bathroom was spotless with a strong shower, while the city view made mornings especially enjoyable.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,23,178,29,200,1,1,1.0,12,2026-09-01T14:25:42.598432+00:00
fake,conrad,Hotel,"My stay at the Conrad felt too short, but I slept wonderfully in the quiet, comfortable bed. The fresh, polished decor and spotless marble bathroom made it easy to relax.",1,custom_review-luna-gpt,short,positive,structured,few_shot,short_positive_structured_few_shot,24,170,30,200,1,1,1.0,12,2026-09-01T14:25:45.764943+00:00
fake,fairmont,Hotel,"Spent a restful night at the Fairmont; the city view was beautiful, the marble bathroom felt luxurious, and the comfortable room made the price seem well worth it.",1,custom_review-luna-gpt,short,positive,structured,zero_shot,short_positive_structured_zero_shot,0,163,28,200,1,1,1.0,12,2026-09-01T14:25:50.919356+00:00
