Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Waking up to the Chicago skyline right outside my balcony window--sleek, quiet rooms with spotless everything, even the hidden corners--made my weekend here perfect.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,165,24,200,1,2,1.0,12,2026-08-23T23:17:38.527889+00:00
fake,allegro,Hotel,The Allegro's riverside rooms stole my morning--waking up to the skyline shimmering over the water made every cup of the house espresso taste sweeter than planned.,1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,163,26,200,1,2,1.0,12,2026-08-23T23:17:40.013629+00:00
fake,amalfi,Hotel,"Flying into Amalfi with dawn was worth every moment--our room's balcony framed the Bay's shimmer, even on cloudier mornings.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,124,19,200,0,2,1.0,12,2026-08-23T23:17:41.345304+00:00
fake,ambassador,Hotel,"The decor at this hotel is inviting--plush armchairs, soft lighting, and modern touches throughout made it easy to relax after a busy conference. Breakfast hit the spot with fresh pastries still warm when I arrived, though I'd wished the stay was longer.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,254,42,200,1,2,1.0,12,2026-08-23T23:17:42.789809+00:00
fake,conrad,Hotel,"The Conrad truly lives up to its reputation--every detail was thoughtfully executed without feeling ostentatious, like their suite's floor-to-ceiling windows framed the skyline during sunrise.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,192,25,200,1,2,1.0,12,2026-08-23T23:17:44.505054+00:00
fake,fairmont,Hotel,"After three nights at Fairmont, I left feeling rested and refreshed--something hard to come by with city travel.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,112,18,200,0,2,1.0,12,2026-08-23T23:17:46.215017+00:00
fake,hardrock,Hotel,"Loved my quick one-night escape at Hard Rock--perfect downtown spot where I never wasted time on transit. The room felt breezy and bright, with modern touches like a walk-in shower and enough outlets to power our tech.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,218,37,200,1,2,1.0,12,2026-08-23T23:17:47.654455+00:00
fake,hilton,Hotel,Perfectly situated near O'Hare with easy highway access and no noisy airports blaring in my ear--big plus for a weekend getaway.,1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,128,21,200,0,2,1.0,12,2026-08-23T23:17:49.535613+00:00
fake,homewood,Hotel,Perfect blend of charm and convenience at Homewood's Seattle location--my suite felt like a quiet retreat after long days sightseeing.,1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,134,20,200,1,2,1.0,12,2026-08-23T23:17:51.226277+00:00
fake,hyatt,Hotel,"This Hyatt was just what we needed--affordable for downtown without sacrificing comfort. The breakfast buffet had plenty to choose from, even for picky eaters like my kids, while the room was quiet enough to rest after a long day exploring.",1,doomgrave/ministral-3:8b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,240,40,200,1,2,1.0,12,2026-08-23T23:17:52.784527+00:00
