row_index,text,true_label,pred_label
1194,"I was looking forward to staying here for my wedding in late September, and was surprised by the signs of hard times that were subtle, but affected me and my husband. For example, he got locked out of our room 2 times, once having to wait for 15 minutes in the hallway after going to the spa. The other time was when he was getting ready for our wedding ceremony, so that was stressful because he lost some time. The keycard just would stop working. Then a fuse blew, so we had no power while trying to get ready. It happened to me also, coming back from the spa, and I called on the hallway phone to get help. Luckily, right after that, an employee who was randomly walking by asked me if I had been waiting long--as if she knew this was a problem. I said no, and she called down to check. Apparently, no one had even called Security to get me back into my room! She had a set of keys and let me in, thank god. Then, on our wedding night, my husband wanted to order from room service. It was a little after 10:30pm. We were told that room service was closed for the night--even though all the literature in the room brags about '24 hour dining.' That fact was never communicated to us when we checked in. I feel like the quality of service and amenities are slipping. We later heard something about a lot of employees getting laid off, so maybe that's why people weren't too intersted in providing good service. I don't think if I would recommend that anyone stay at this Fairmont nor will I ever again. BTW, the spa is great to hang out in, even if you're not doing a massage.
",0,1
1195,"The Knickerbocker hotel is fantastic! It's an old hotel with updated rooms - so you get the old-timey charm and fresh comfort all at once. The hotel has a fabulous location. It's a one minute walk to the Cheesecake Factory and Bloomingdales, and about a 5 minute walk to Einstein Bagel Company (the best bagels and cream cheese EVER), Macys and Saks. This location can't be beat. You're at one end of the magnificent mile, so it makes for easy strolling, as you don't start in the middle and then backtrack. The hotel staff are super helpful and friendly. Checking in and out was very smooth, and the concierge (Cheryl) was amazing. She booked all our dinner reservations and activities for us, and recommended an incredible restaurant called Carmines which was a 5 minute walk. It was the greatest italian restaurant I have ever been to, and I can't recommend it more. The rooms are small but not too small. We had a beautiful big samsung flat screen, cordless phones, a rain shower, ample clean towels, and beautiful marble countertops. The hotel rooms have european charm to them and made me feel like I was at a 5 star hotel in Europe. The beds are very comfortable and the duvet is soft like butter. The only complaint I had was that housekeeping woke us up at 8:30 one morning when the knocked on our door despite the fact that we had the do not disturb sign on. When we answered and asked her to come back later she seemed a bit miffed. The issue was corrected, though, and it didn't happen again during our 4 night stay. The hotel has some unique items on their room service menu - ie - grilled cheese with mini tomato soup for dipping. Very cute. Their late night menu, however, is lacking. It would have been nice to see some soup on there. That being said, I RARELY order from room service when on vacation, so I really don't see that being a big deal. Overall I would recommend this hotel without hesitation. I think we paid about 130 a night and I would say it was worth far more than that. We had a wonderful experience and I truly look forward to staying there again....wouldn't stay anywhere else! 
",0,0
1196,"Upon entering my hotel room at The Palmer House Hilton I immediately turned my nose up at a foul odor coming from the bathroom. After placing my bags on a poorly made bed I walked into the bathroom to find the last visitor had failed to flush the toilet. I immediately called room service and asked for a new room. They apologetically told me there were no other rooms available but would send someone right up to handle the mess. After oh around a half hour of waiting a very angry maid knocked at my door. She seemed very irritated to have to deal with the mess and looked at me as if I should have been the one dealing with it. After the room was cleaned up she turned to me as if asking for a tip. I hesitated and she angrily stormed out of the room. I thought things would run smoother and tried to relax with an ipod. Yes you can use your ipod in the room however what they fail to mention is the constant white noise because the signals are so poor. And nothing could compare to the remote control heating and air. When I was able to get the buttons on the remote to work the temperature seemed to change on its own. If I wanted hot air it would slowly get colder and vise versa. After giving up on a nice television program I decided to retire to bed. Egyptian sheets? Right! All I can say is I found myself early to check out and in a new hotel within the next hour. If you value your back do not rent a room from this hotel.
",1,1
1197,"My experience with the Fairmont Chicago Millennium Park Hotel was Terrible! I arrived exactly at my check in time only to be told my room would not be ready for another hour. I chose to wait patiently at the hotel bar and found myself again disappointed I sat for 15 minutes before the bar tender served me and the drink I received was warm. When the room was finally ready I was horrified to find hairs in the bathtub and mysterious spots on the bedding. When I called down to housekeeping the staff was very rude and maid who they sent up to change my sheets acted annoyed and muttered under her breath the whole time she was changing our sheets and cleaning the bathroom. After all this hassle I would normally expect at least a complimentary beverage but not only was that not offered I found even using internet at this location involved a rather exorbitant fee 13.95 for a 24 hour period. I was shocked having stayed at a variety of higher end hotels I have never once been asked to pay extra for my wifi access. Overall I was highly disappointed with my stay and will not be returning to the Fairmont Chicago Millennium Park hotel any time soon.
",1,1
1198,"This is a great hotel but there is no way that I would recommend it until the construction around it is complete. The elevator is the alley starts for the construction site behind at 5:30am and goes on into the night. Dumpster filling and emptying also seems to go on 24/7. Worst of all, the restaurant is open to the sidewalk cafe here and the rats go scampering from the construction next door to street to grating. Ugh!
",0,0
1199,"I stayed at Swissotel Chicago when I was on business and it was very nice. The staff was very helpful and room was very clean. I would stay again in a heart beat!
",1,1
1200,"Excellent location, about a block from Michigan Ave. and two blocks from Water Tower Place and John Hancock Tower. Beautiful hotel, felt very luxurious and high-class for being a moderate priced hotel. Staff was excellent -- friendly and accommodating. 
",0,0
1201,"Booked a room online and got a great rate under $200 which is very cheap for a summer hotel room in Chicago in this nice location, 3 blocks I think from the water. Even though our rate was so cheap, the service was wonderful, the front desk were polite& cheerful, the doormen and valet were great and helpful, and they even put a fridge in our room when we requested on, free of charge! The fitness room was clean, large and provided fruit and clean towels, and it had the greatest view of the city as it was on the top floor of the hotel. Location of hotel is safe, and such a beautiful area. Check the rates directly online of the hotel's website, as it was the least expensive. We will stay here again for sure. 
",0,0
1202,"Our trip to Chicago was a complete delight despite our stay at the Affinia Hotel. Because their rates were actually higher than we were used to in New York City, we naturally assumed we would get a nicer establishment. We could not have been more wrong. This place focuses on gimmicks to set themselves apart from their competition. Uunfortunately, it does set them apart but in a strictly negative way. Both the 'Dream Pillow Menu' and the 'Experience Kit' were a complete flop. With the 'Dream Pillow Menu', the hotel offered patrons what seemed to be great pillow choices from down-stuffed to hypoallergenic selections. We happily chose the fluffy down pillows but when we got to our room and laid down on them a giant poof of dust came out. At first, I thought it was my imagination so I stood up and hit the pillows on the edge of the bed. More dust came out them! Particles were flying around the room, I'm now sneezing and there was this disgusting grit all over my sunglasses that were sitting on the night stand. I called the desk and they sent up replacements for all the pillows. These pillows were some kind of 'music pillow' that pluged into an mp3 player. I was sleeping on uncomfortable cords all night. In general, the staff was pleasant and tried to be accommodating, but there was just no apology good enough for filthy pillows. Another failed gimmick they offered was the 'Experience Kits'. We were given (ours to keep) a collection of some maps (which were actually very nice), a walking tour guide that was all marked up, and a handy deck of cards opened and missing two cards. If this place lacked attention to detail, that is one thing, but it lacked any attention at all. If the pillows weren't already enough, at this point I was certain that I would never stay at this establishment again. Run, don't walk away from this place.
",1,1
1203,"I will never use Ambassador East Hotel again. The first appearance you get is a very dark and dreary type setting. The exterior of the hotel was in desperate need of repair. The customer service was not as good as you would expect when spending your hard earned money on a hotel room. In this hotel you are spending more than the average amount of money on a room that is smaller than the average hotel room. I felt rushed out at check out and didn't have an enjoyable experience at all.
",1,1
