Binary_label,Category,domain,text,is_synthetic,source,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"I booked room 14B for five nights in late March, and it was a perfect respite from the snow outside.",1,llama3.2:latest,short,positive,structured,few_shot,short_positive_structured_few_shot,0,100,20,200,0,2,1.0,12,2026-08-08T15:19:12.046135+00:00
fake,allegro,Hotel,"I spent three nights at Allegro in March and was pleasantly surprised by the staff's warm welcome - our host, Maria, showed us to our room on the third floor and helped us navigate the hotel's quirks.",1,llama3.2:latest,short,positive,structured,few_shot,short_positive_structured_few_shot,1,200,37,200,1,2,1.0,12,2026-08-08T15:19:23.199101+00:00
fake,amalfi,Hotel,I recently stayed at the Amalfi for a solo business trip and was pleasantly surprised by its affordability considering the scenic location near the waterfront.,1,llama3.2:latest,short,positive,structured,few_shot,short_positive_structured_few_shot,2,159,25,200,1,2,1.0,12,2026-08-08T15:19:37.527921+00:00
fake,ambassador,Hotel,"I spent a lovely weekend at the Ambassador hotel from March 10th to 12th in room 314 - our friendly housekeeper, Sofia, made sure our towels were always plush and fresh.",1,llama3.2:latest,short,positive,structured,zero_shot,short_positive_structured_zero_shot,0,169,31,200,1,2,1.0,12,2026-08-08T15:19:49.900568+00:00
fake,conrad,Hotel,"Staying at the Conrad for a long weekend in May was exactly what I needed - convenient location with easy access to the city's main attractions, and a great price considering the quality of amenities.",1,llama3.2:latest,short,positive,structured,zero_shot,short_positive_structured_zero_shot,1,200,35,200,1,2,1.0,12,2026-08-08T15:20:00.073759+00:00
fake,fairmont,Hotel,"I recently stayed at Fairmont for a weekend and was thoroughly impressed with the value - considering the price, it was one of the best hotel experiences I've had in years.",1,llama3.2:latest,short,positive,structured,zero_shot,short_positive_structured_zero_shot,2,172,31,200,1,2,1.0,12,2026-08-08T15:20:10.341300+00:00
fake,hardrock,Hotel,I splurged on a suite at Hard Rock last week and it totally paid off - the sprawling balcony was perfect for taking in the views while the poolside bar served up amazing margaritas.,1,llama3.2:latest,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,0,181,34,200,1,2,1.0,12,2026-08-08T15:20:21.270051+00:00
fake,hilton,Hotel,I was blown away by how quiet the hotel was considering it's in downtown - my kid slept like 12 hours straight on the third floor despite all the noise outside.,1,llama3.2:latest,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,1,160,31,200,1,2,1.0,12,2026-08-08T15:20:32.108601+00:00
fake,homewood,Hotel,"We booked room 314 on a chilly December morning, and it was perfect for snuggling up after exploring the city's Christmas market. The continental breakfast spread was incredible – who knew mimosas could be paired with so many pastries?",1,llama3.2:latest,short,positive,unstructured,few_shot,short_positive_unstructured_few_shot,2,235,39,200,1,1,1.0,12,2026-08-08T15:20:39.115470+00:00
fake,hyatt,Hotel,"Stayed at Hyatt from March 10-12, room 1408 - loved the king-sized bed and modern bathroom. Front desk staff, Rachel, was super helpful with late check-out, and housekeeping came through on extra towels every morning, even after I spilled coffee on one of my shirts.",1,llama3.2:latest,short,positive,unstructured,zero_shot,short_positive_unstructured_zero_shot,0,266,45,200,1,1,1.0,12,2026-08-08T15:20:44.031517+00:00
