row_index,text,true_label,pred_label
1194,"The lobby of the Homewood is right down the hall from the kitchen and dining room(actually more of a grade school cafeteria type set up). The odors from the kitchen were disgusting, and indeed reminded my of that of a institutional kitchen(I.e. hospital). The free breakfast and free dinner were not at all palatable. I suppose that if you are traveling with a young family as many guests were, that makes this hotel a good value. But i would not stay here again.
",0,0
1195,"We stayed at the Sofitel for three nights and honestly wished it had been a week. The bed was wonderful -- the mattress had that perfect balance of firmness and softness, and with the blackout curtains I slept straight through every night without waking once, which almost never happens for me. Even better, the room was remarkably quiet despite the hotel being fully booked; we heard no hallway noise or street traffic at all, just the distant hum of the air conditioning. The wifi was fast and reliable throughout, easily handling video calls and streaming in the evenings without a single drop. Staff were warm and attentive from check-in to checkout, and the breakfast spread was excellent. Highly recommend and we'll definitely be back.",1,1
1196,"I had a very pleasant stay at the InterContinental. The lobby was elegant without feeling overly formal, and check-in was quick, friendly, and well organized. My room was spacious, quiet, and exceptionally clean, with a comfortable bed and a great view of the city from the higher floor. I especially appreciated the thoughtful touches, including plenty of outlets, good water pressure, and a coffee machine that was easy to use. Breakfast had a generous selection, from fresh fruit and pastries to hot local dishes, although it became busy around 9 a.m. The staff throughout the hotel were consistently professional and genuinely helpful, particularly when arranging a late taxi. Prices are not the lowest, but the service, location, and overall comfort made the stay feel worthwhile. I would gladly return.",1,1
1197,"While overall a decent property, the incident I had with this hotel has been like none other in my history of travel. I recently stayed at the Hotel Monaco for five nights, checking out on Monday, March 19th. Shortly after leaving the hotel and retrieving my car from the valet, my partner and I noticed a large scrape on the bumper of the car that wasn't present upon checking in. We had not requested use of the car for the duration of our stay. I called the hotel approximately two hours after checking out and was directed to speak with the garage manager at Park One (their valet company) who stated that he would review video of the car and call me back within 48 hours to verify that the car was unblemished upon arrival, and was scraped upon departure from the garage. The garage manager, Mike Yunan, didn't call back until I had an email exchange with the general manager of the hotel, Marco Scherer. When he finally got back to me, the garage manager stated that he would file an 'incident report' and claim with his insurance company, Travelers, which would eventually deny the claim because garage staff wouldn't admit fault or liability, nor did they supply the video they stated they had of the car entering or exiting the garage, which could have verified that the damage wasn't present upon check-in, but was at check-out. Their insurance representative even told me that the garage does not have surveillance at that location, contradicting the garage manager. In the end, this Kimpton InTouch guest got stuck with a $1,000 bill for parking at this Kimpton property: an almost $500 paint scrape on top of a $48/per day parking fee, rental car expenses, several hours of lost time in dealing with the issue, and one gigantic headache. In the end, do NOT trust the valets or staff at this hotel, and take your business elsewhere if at all possible.
",0,0
1198,"I've been here for 4 days. Great location right off of miracle mile, near all major hotels, best shopping and theatres. Rooms very large. Hotel staff very friendly and helpful, and respond immediately. Problems: there frequently are homeless people (even during daylight) on Superior between St. Clair and Michigan Avenue (the main route you walk for or all activities, and just about everything is in walking distance from here). At night, the street on the north side of Superior is dark, and it usually smells strongly of several unpleasant odors. The street people do not approach you, although they may stare as you go by. Usually 2 or more along the way, where they sleep on the window sills of Neiman Marcus. I would not think a woman would feel safe by herself. (I am from a large city and do not have a street people phobia.) There are homeless up and down Michigan Street, but this is different as it's a lonely stretch and no open business is along either side of the street. The entire hotel needs a lot of cosmetic work, and apparently will soon undergo a major renovation. For now, expect two extremely small, warm, slow elevators with long waits serving 17 floors and warm, cramped hallways! All the walls throughout the hotel need painting, and the wallpaper is peeling in places. In the room, several electrical outlets were hanging out of the connection, the carpets were stained, the bathrooms needed new grout (some mold visible), the TV is very small (16 Inch?) and the windows very, very dirty. You won't get your room serviced unless you ask for it, sometimes more than once. The 'pub ' downstairs is run down, dark and kind of creepy. Food and room service are very expensive, as is parking ($34/day public and $38/day valet). On the plus side, the bed was very comfortable, there was ample comfortable furniture in the sitting area, plenty of space and a decent view as the hotels spans St. Clair street toward the north and south. You can see a sliver of Lake Michigan. Pool small, but clean. All in all, it was clean and quiet and provides lots of space for sitting around in the room, but I think it is overpriced, and I would not stay here again.
",0,0
1199,"I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it.
",0,0
1200,"My daughter and I woke in the morning wanting to go swimming. When we arrived at the pool the water was covered by a white scum. I then attempted to use both of the phones at the pool, one white phone and one emergency red phone, to call the desk. Both were out of service!!!! I am glad there wasn't an emergency. As we were exited the pool area I ran into a hotel employee and told her about the problems and then asked her to call us when the pool was clean.... never heard back. One more thing, in our room the furniture was mostly child friendly except for a large metal and glass outdated coffee table. Within 30 minutes my 5 year old fell and hit her mouth and began bleeding. They need to update this piece of furniture.
",0,0
1201,"The Homewood was a solid pick--clean suite, comfy bed, and the free breakfast actually had decent options. Staff were friendly and quick at check-in, and the location made it easy to grab dinner nearby. Would happily return.",1,1
1202,"at check in, the girl gave us a smoking room. we asked for nonsmoking. i had to get another room. it was by the elevators. loud! really loud!. the new room didn't have a shower door. so every day water spilled on to the floor and wet the carpet. the public transportation is amazing. you don't need a car in chicago. you can get anywhere by train or bus. it's fast too. Area recommendations chicago is great! good shopping, good food (ginos east!!!) and great bars. the tornado that knocked out the windows in the sears tower was really cool! i loved being in the hardest rain storm i've ever seen!
",0,0
1203,"The room wasn't dirty, but the decor felt stuck in the 90s, and the view was just a gray rooftop. The bathroom had a cracked tile and weak water pressure, which sealed the disappointment.",1,1
