Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"The view from my 14th-floor room at Affinia was stunning at sunset, and the room itself was spotless. Wi-Fi worked flawlessly for streaming, and I slept deeply on the plush bed--truly a restful, hassle-free stay.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,0,212,35,200,1,1,1.0,12,2026-09-01T11:54:06.703949+00:00
fake,affinia,Hotel,"The view from my room on the 23rd floor was stunning, and the spotless carpets and crisp sheets made it easy to unwind. Wi-Fi stayed strong all evening, and I slept deeper than I have in months--a genuinely refreshing stay.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,0,223,40,200,1,1,1.0,12,2026-09-01T11:55:45.468387+00:00
fake,allegro,Hotel,"Woke up to a stunning skyline view and slept like a log on the comfy bed. Breakfast had fresh pastries and great coffee, and for the price, this place genuinely felt like a steal. I'd book again.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,1,195,37,200,1,1,1.0,12,2026-09-01T11:55:48.413849+00:00
fake,amalfi,Hotel,"The Amalfi made me wish I'd booked one more night--I slept like a log in the plush bed, woke to a stunning bay view, and felt every euro was justified. A rare, restorative gem.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,2,176,34,200,1,1,1.0,12,2026-09-01T11:55:50.724326+00:00
fake,ambassador,Hotel,"Breakfast had plenty of fresh fruit and made-to-order eggs, and the lobby's mid-century furniture felt pleasantly current. Our room sparkled, and while I could've lingered another day, the weekend was exactly the reset I needed.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,3,228,35,200,1,1,1.0,12,2026-09-01T11:55:53.976780+00:00
fake,conrad,Hotel,"The Conrad delivered on every front--stylish, well-maintained interiors that feel current, fast Wi-Fi, and a prime spot steps from great dining and transit. It's not cheap, but the location and comfort justify every penny. I'd happily return.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,4,242,37,200,1,1,1.0,12,2026-09-01T11:55:59.203058+00:00
fake,fairmont,Hotel,"Slept like a log in that impossibly plush bed, and the wifi never hiccuped once. The lake view from our room was stunning at sunrise, though our two-night stay felt far too brief to fully soak it all in.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,5,203,39,200,1,1,1.0,12,2026-09-01T11:56:01.825998+00:00
fake,hardrock,Hotel,"Breakfast at the Hard Rock hit all the right notes--hot pancakes, strong coffee, and zero rush. My bathroom was spotless with great water pressure, and being steps from the Strip made everything effortless. Honestly, one night wasn't nearly enough to soak it all in.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,6,266,44,200,1,2,1.0,12,2026-09-01T11:56:10.835010+00:00
fake,hilton,Hotel,"The bathroom was spotless with great water pressure, and the Wi-Fi handled video calls without a hitch. Breakfast offered plenty of hot options, and being steps from the Metro made exploring effortless--exactly what I needed.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,7,225,35,200,1,1,1.0,12,2026-09-01T11:56:13.711267+00:00
fake,homewood,Hotel,"The bathroom was spotless with excellent water pressure, and breakfast had plenty of hot and cold options. Staff were genuinely welcoming, and our room stayed tidy throughout. A very comfortable, hassle-free stay overall.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,8,221,33,200,1,1,1.0,12,2026-09-01T11:56:16.867583+00:00
fake,hyatt,Hotel,"The rate felt fair for the location and room quality--the breakfast buffet was fresh with great options, staff were genuinely friendly, and the hallways were wonderfully quiet. I'd gladly book again.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,9,199,31,200,1,1,1.0,12,2026-09-01T11:56:19.329187+00:00
fake,intercontinental,Hotel,"The Intercontinental's classic lobby charms, though the room decor skews slightly tired. Still, the spotless bathroom and lakeside views justified the rate. My one-night stopover felt fleeting--I'd happily trade two more days there.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,10,232,33,200,1,1,1.0,12,2026-09-01T11:56:22.468871+00:00
fake,james,Hotel,"The lobby's fresh, modern decor was a pleasant surprise, and our room's skyline view was stunning at dusk. Breakfast had solid pastries and decent coffee, though nothing fancy, and the wifi never dropped during work calls.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,11,222,36,200,1,1,1.0,12,2026-09-01T11:56:28.997480+00:00
fake,knickerbocker,Hotel,"Our two nights flew by--I wished for one more lazy morning. The room stayed blissfully quiet despite downtown buzz, and the wifi never stumbled. Breakfast's scrambled eggs and fresh pastries hit the spot, making the whole stay feel effortless.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,12,243,39,200,1,2,1.0,12,2026-09-01T11:57:20.805110+00:00
fake,monaco,Hotel,"Breakfast was a satisfying spread of fresh pastries and made-to-order eggs, and the staff's genuine warmth set a great tone each morning. Perched steps from DuPont Circle, the view over the rooftops was lovely, making every errand an easy stroll.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,13,246,40,200,1,1,1.0,12,2026-09-01T11:57:23.327307+00:00
fake,omni,Hotel,"Our corner room offered sweeping lake views that instantly relaxed me, and while the lobby decor leans classic, it felt polished rather than dated. Staff were genuinely warm and quick with local tips, and being steps from the Magnificent Mile made everything effortless.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,14,270,43,200,1,1,1.0,12,2026-09-01T11:57:26.655162+00:00
fake,palmer,Hotel,"The staff were wonderfully attentive without hovering, and the room's classic decor felt charming rather than tired. Waking to lake views from the large window was lovely, and the marble bathroom with a rainfall shower felt spotless. A genuinely comfortable, warm stay.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,15,269,42,200,1,2,1.0,12,2026-09-01T11:57:33.719225+00:00
fake,sheraton,Hotel,"Slept like a log in the blissfully quiet room, and the wifi never dropped once during my work calls. Waking up to that skyline view over the river made the whole stay feel worth it.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,16,181,35,200,1,1,1.0,12,2026-09-01T11:57:37.142951+00:00
fake,sofitel,Hotel,"The bathroom was spotless with a rainfall shower that made the stay feel indulgent. Despite being near the busy Opera district, our room stayed wonderfully quiet. It's pricey, but the central location and comfort justify it; I'd happily return.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,17,244,39,200,1,1,1.0,12,2026-09-01T11:57:39.917499+00:00
fake,swissotel,Hotel,"The rooms felt refreshingly modern--not a hint of dated decor--and the wifi held steady for both work and streaming. I slept deeply on the plush bedding, and given the location and service, the rate felt entirely justified. Would gladly return.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,18,244,40,200,1,1,1.0,12,2026-09-01T11:57:42.824209+00:00
fake,talbott,Hotel,"The Talbott felt like a hidden gem--our room was spotless, the Wi-Fi never lagged, and being steps from the river made exploring effortless. For the thoughtful touches and prime spot, the price honestly felt like a steal.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,19,221,37,200,1,1,1.0,12,2026-09-01T11:58:02.798548+00:00
fake,affinia,Hotel,"The front desk team at Affinia was wonderfully warm and efficient, making check-in a breeze. Our room felt refreshingly modern, not dated, and breakfast offered a solid variety of fresh pastries and hot options.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,20,211,34,200,1,2,1.0,12,2026-09-01T11:58:09.167759+00:00
fake,allegro,Hotel,"We barely wanted to check out--our two nights at Hotel Allegro flew by. I slept deeply in the plush bed, the bathroom's rainfall shower was perfect, and the spotless room made every moment feel fresh and welcoming.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,21,214,37,200,1,1,1.0,12,2026-09-01T11:58:38.156124+00:00
fake,amalfi,Hotel,"Despite the bustling heart of Amalfi just below, our room was wonderfully soundproofed--I slept like a log. The wifi didn't miss a beat for late-night planning, and waking to that pastel coastline and glittering sea was absolutely worth it.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,22,240,39,200,1,1,1.0,12,2026-09-01T11:58:40.837366+00:00
fake,ambassador,Hotel,"The bathroom was spotless with excellent water pressure, and the view over the harbor made every morning feel special. Despite the central location, my room was impressively quiet, though I honestly could have stayed another night without getting bored.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,23,253,39,200,1,1,1.0,12,2026-09-01T11:58:43.909706+00:00
fake,conrad,Hotel,"Checked in late and left far too soon--the bed was so plush I slept through my alarm twice. The decor felt elegantly current, not gimmicky, and the bathroom's rainfall shower made morning prep a genuine treat.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,24,209,36,200,1,1,1.0,12,2026-09-01T11:58:51.020017+00:00
fake,fairmont,Hotel,"The Fairmont felt worth every penny--the lobby's classic elegance still charms, not dated at all. Breakfast croissants were flaky perfection, and the marble bathroom with a rain shower made mornings feel like a spa ritual. A refreshing, polished stay.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,25,251,39,200,1,1,1.0,12,2026-09-01T11:58:56.742642+00:00
fake,hardrock,Hotel,"The Hard Rock's vibrant, music-filled decor felt refreshingly current, not tired. I slept deeply on the plush bed, and while my two-night stay flew by, the rain shower and sleek vanity made every morning feel like a treat.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,26,222,38,200,1,2,1.0,12,2026-09-01T11:59:02.554572+00:00
fake,hilton,Hotel,"The room was spotless, and the cloud-soft bed gave me the best sleep in weeks. Breakfast offered everything from fresh pastries to made-to-order omelets, while my window framed a stunning skyline view. Truly a refreshing, worry-free stay.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,27,238,37,200,1,1,1.0,12,2026-09-01T11:59:06.450777+00:00
fake,homewood,Hotel,"Room was spotless and the Wi-Fi never dropped once, which made remote work easy. Location put me minutes from everything I needed, and the free breakfast with fresh fruit and hot eggs was a solid start. No complaints.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,28,217,38,200,1,2,1.0,12,2026-09-01T11:59:12.342354+00:00
fake,hyatt,Hotel,"The Hyatt's location was perfect for exploring downtown, and the decor felt fresh, not tired. Staff were genuinely welcoming, and given the comfort and service, the rate felt more than fair. I'd happily book again.",1,custom_youkichirou-s-deepseek,short,positive,structured,few_shot,short_positive_structured_few_shot,29,214,35,200,1,1,1.0,12,2026-09-01T11:59:19.198852+00:00
