row_index,text,true_label,pred_label
1794,"I was blown away by my stay at The Hotel Conrad, everything exceeded my expectations from the moment I stepped inside. Check-in was seamless, the staff were so friendly and welcoming, they helped me get settled in with a warm smile. My room was luxurious, huge bed and comfy pillows, the view of the city skyline was stunning from the 23rd floor - I spent most of the day lounging by the window watching the sunsets. The hotel's restaurant served amazing food, I tried their signature dish which was to die for. One of the best hotel experiences I've had in a long time, great location too, walking distance to many attractions.",1,1
1795,"My wife and I just spent 3 nights at The Talbott. The room was spacious, comfortable and well-appointed. The hotel is quiet although there is some construction nearby. Linens and towels first-class. Free Wi-Fi in the room. The location is terrific, just one block to Michigan Avenue. We will stay here on future visits. 
",0,0
1796,"Honestly, my stay at Swissotel was deeply disappointing and didn't live up to the grand reputation I'd heard about. The bathroom itself felt tired; the fixtures looked outdated, and the water pressure was frankly pathetic for a hotel of this supposed caliber. Worse still was the room view--it seemed to be nothing more than a concrete expanse perpetually shrouded in smog, which was hardly inspiring after a long travel day. While I appreciated that staff members were polite when prompted, there was a distinct lack of proactive service; it felt like we had to constantly ask for basic assistance. Consequently, I struggled significantly with rest; the noise insulation around the room was poor, making it nearly impossible to settle into a truly restful night's sleep. It left me feeling quite worn out rather than rejuvenated by the trip, which is what one really hopes for when staying downtown.",1,1
1797,"The Amalfi Hotel Chicago is perfect for a romantic get-away. My husband and I spent a weekend away from the kids there and I must say, we were impressed by the staff and the accomodations. We especially enjoyed the in-room spa service. I recommend the Amalfi to anyone wanting a nice hotel in the downtown Chicago area (you are within walking distance of shopping) with great customer service and luxury accomodations!
",1,1
1798,"The Palmer Hotel made my weekend trip unforgettable--not just because of its prime location smack-dab between the High Line and meatpacking's trendy spots, but because every little detail felt *curated*. My room on the fifth floor had a perfect balance: plenty of light streaming through the oversized windows but no glare that woke me up early. The bathroom was modern without being stark--subtle dark tiles gave it warmth, and the rain showerhead turned what could have been an afterthought into a little spa moment. I never found myself searching for extra towels or worried about stains (though with all the cheese boards I lugged back from Trader Joe's, that was a good thing). The bed? Firm but not painful--just enough support so I didn't wake up feeling like a deflated balloon.

Check-in was seamless; the hostess at the front desk remembered my name *before* I asked for my key.",1,1
1799,"When I first booked my reservation at this hotel, honestly, I didn't know what to expect. I mean, I'm kind of a music person, but this was my first real experience with a musically 'themed' hotel. Upon staying here, however, I am convinced that I made the right choice in my stay. The dining accommodations were excellent, and I was served probably some of the best food I've ever eaten at a hotel. It was intelligently placed in downtown Chicago, and I wouldn't have to walk too far to see some street performers, or just take in the majesty of the city itself. The room I had booked had an excellent view of the skyline, and I could've easily sat for hours, just marveling at the city sprawled out before me. The whole 'Hard Rock' and musical aspect of the hotel was just the icing on the cake of my stay. If I had to stay here again, I would! 
",1,1
1800,"The Sofitel's prime location made everything within walking distance, perfect for our short business trip.",1,1
1801,"I was lucky enough to get a '4 star' hotel off of Priceline for $70 - I was luckier that I got the Knickerbocker! From check in to check out the hotel staff was extremely helpful and friendly. The rooms are small but cozy. After reading the reviews from other guests I was somewhat scared of what I would find - they must have stayed at a different hotel. I am a very frequent traveler and felt that the rooms and the hotel met the '4 star' rating. Yes, the rooms and bathrooms were small, but what historic hotel in a big city isn't? The decor and quality met my expectations. The lobby and bar were very inviting. Overall, I would stay here again and again. 
",0,0
1802,"I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it.
",0,1
1803,"I had a wonderful time at the James Hotel while on business in Chicago. The rooms are modern, tasteful and well-kept, while the staff was responsive and efficient. This was the perfect place to unwind after working all day, but also provided an ideal atmosphere to do some more work. 
",1,1
1804,"We always stay at the Sheraton Chicago Hotel & Towers when we take our kids to the city. You can't beat the location which is in walking distance of Navy Pier and Michigan Ave. The hotel is also just a couple of blocks from the fabulous Fox & Obel, a high end grocery store with many prepared items available to go and a great cafe that serves a stellar breakfast. The hotel staff are professional and courteous and the rooms are more than adequate with very comfy beds. My kids enjoy the pool with it's windows that overlook the Chicago river. 
",0,0
1805,"My fiance and I traveled to Chicago for the first time this December and we were not happy with this hotel. The friendliest people on the staff were the bell boys. They greeted us with a smile and gave us lots of great advice throughout our stay. The rest of the staff however was terrible. When we first checked in, I was instantly discouraged. The front desk person was not in a good mood and I couldn't wait to leave the lobby. Having not traveled here before we were looking for exciting places to eat and to go sightseeing. We asked multiple staff members at the front desk of places to go and see and never got any good recommendations. We felt as if we were an inconvenience to the staff. At one point, the front desk person was on the phone while we were waiting to talk to her, as she was on the phone a family of four came up behind us waiting to talk to her as well. Even though she saw us standing there, after she finished with the phone call she ignored us and helped the family first. Yes, we are in our mid 20's, but we are still paying guests and there is no reason to be treated like we are invisible. For how much money we paid for each night, I would have rather stayed somewhere else. We decided to go with this hotel because of the location and the great reviews, but we did not experience any of this during our stay. The rooms were alright, but nothing special. I would not stay in this hotel again.
",0,1
1806,"Checking into Swissotel felt like stepping straight into a sanctuary where luxury meets effortless comfort. From the moment we entered our room, I was struck by just how pristine everything appeared; floors gleamed under soft lighting without any visible dust or smudges on surfaces. The bed itself was an absolute dream, featuring plush pillows that cradled my neck perfectly and high-thread-count linens so crisp they felt like fresh snow against the skin. Consequently, I drifted into a deep, uninterrupted sleep after just ten minutes of lying still--a rarity in many city hotels! Upon waking up to find myself overlooking the bustling skyline mixed with patches of greenery below, the morning view instantly set an optimistic tone for my day. Throughout our stay, every staff member greeted us with genuine warmth and remembered returning questions about room service or breakfast preferences without needing me to repeat them twice.",1,1
1807,"I expected a glamorous room and I walked into a disappointment. Housekeeping and Management must not be concerned with attention to detail at this hotel. If you like staying somewhere that the air in the rooms doesn't go down past 74, the closet is 24' wide, all old/dirty brass fixtures, beds that are a little bigger than a twin, showerheads that barely put out water, then this is your hotel. I might be spoiled by staying in Marriott's, but I stay in hotels 1/3 of the year and was severly disappionted. No free breakfasts or a room change will get me to stay here again.
",0,0
1808,"When you enter the lobby at the Millennium Knickerbocker Hotel you immediately see that this is a special place where you are going to be pampered. The staff are very friendly and helpful and seem genuinely happy to assist you in any way they can. The check in process is smooth and friendly as I expected. When you enter your room the decor catches your eye. Luxurious yet not stuffy is how I describe it. The restroom tub is large and made of marble. The whole room is tasteful and made to make you feel special yet at home. I highly recommend The Millennium Knickerbocker Hotel to anybody looking to escape for a while.
",1,1
1809,"The location was good. Check-in was ok. Asked for non smoking room, given floor with half smoking half non smoking. We could smell the smoke as soon as the elevator doors opened. We asked for and recieved a room on a non-smoking floor. They did not bring up the key, we had to go down to the lobby to get it. Breakfast could have had some healthy choices, the sweet rolls and danish were not fresh. Bananas not ripe. Room only had ONE wash cloth, had to call down for more. Housekeeping NEVER showed up at our room. Not for turndown service , not for the morning clean -up. Called down upon our arrival back to our room after being gone all day and we were accused of putting our the Do Not Disturb sign. They said they would come up and they never came when they said they would. We finally told them not to come because of the time. We wanted to get ready to go out for dinner. Never greeted by anyone as we came and went. I have stayed at the Peninsula and the Burnham. The Burnham was booked during our stay or I would have stayed there.I will NEVER stay at this hotel again, Not worth 300.00 a night
",0,0
1810,"I was really looking forward to my stay at the Fairmont, but unfortunately it didn't live up to my expectations. The moment I stepped into the lobby, I was hit with a wave of stale air that seemed to cling to everything - the marble floors, the leather armchairs, even the staff's brief smiles seemed forced. Our room on the 20th floor had a lovely view, but that's about where the positives ended. The bed creaked under my weight and the mattress felt like it was sagging in all the wrong places. We'd requested a room with a separate living area, but instead we got a tiny alcove with a chair that looked like it belonged in a thrift store. And don't even get me started on the mini-bar - overpriced snacks that tasted more of stale crackers than fresh air. The only good thing I can say is that our concierge was friendly and recommended some great local eats, but overall my stay at the Fairmont felt like a costly disappointment.",1,1
1811,"My husband and I recently stayed at your Hard Rock Hotel in Chicago, and what a fantastic experience it was. We stayed in one of the 'Extreme Suites' and let me tell you it was beautiful. The furniture and paintings were amazing and the view was to die for. The staff treated us really well and met all of our needs and then some. I especially loved the spa. We stayed for a week but I could have stayed a lot longer. It was very comfortable and welcoming. We will make sure to recommend your hotel to our friends and will be back the next time we are in Chicago. Thanks so much!
",1,1
1812,"We loved this hotel and would definitely come back. Initially we weren't given a goldfish, which was disappointing, but then we left a tip for the housekeeper, and she rewarded us with one. We had fun sipping wine and playing Wii in the lobby every afternoon. The staff were quite friendly and helpful, even printing our boarding passes for us. Our room was very comfortable, with a cozy little alcove at the window where we read the paper. At first we were worried about noise, since our room was next to the elevator, but we hardly heard it, and didn't notice any street noise either. The hotel is colorfully and tastefully decorated, well-lit, and ideally located. 
",0,0
1813,"My wife and I decided to spend three days in Chicago last summer, and booked via Expedia. When we first walked into the lobby we almost fell over at its' beauty. It's like something out of Europe. We were able to get a free room upgrade, even though the rooms are still a bit small, but its' an old hotel in an old city. It's there for sleeping and showering. The restaurants, lounges, and shops were all wonderfull. The next time we travel to Chicago, I'll be affraid to stay anywhere other than the Palmer House Hilton 
",0,1
1814,"I had high hopes for the Hilton Chicago, but I am sad to say that I am disapointed. Not only is it outrageously expensive (over $200 for two people for one night), but they expect you to pay over $40 to park your car! They do not offer free Wi-Fi, but instead I had to pay $20 to get on the internet in my room. I had to wait until 3 pm to check in (even though my flight was in the morning) and I had to rent a car at the airport because the hotel did not offer transportation too and from. After all of this stress, the Hilton Chicago didn't have an in hotel bar either. I doubt I will stay here again!
",1,1
1815,"After searching for the perfect hotel for my Chicago getaway I knew once I came across the Hard Rock Hotel, that this was the hotel for me. After seeing the exceptional accommodations the hotel offered, I booked my reservations right away. When I arrived at the hotel I was astonished at how beautiful and big the building and grounds were kept. I was greeted warmly by the front staff and received my room key within a few minutes. I was also given helpful pointers to nearby attractions and restaurants. I took the elevator up to my room, and when I opened the door my jaw dropped as the views of the Chicago skyline was impeccable. After relaxing I went down to the bar for a few cocktails and was impressed by the fast, courteous service I received. After my cocktail hour, I decided to unwind and let me tell you the beds must be sent from heaven. I had one of the best nights of sleep I have had in a long time. I highly recommend the Hard Rock as I have stayed at many around the US and this is definitely on my top 5 list. Hope you all enjoy it as much as I did, and I can't wait to return. Ashley B.
",1,1
1816,The Hard Rock's downtown location was just perfect--right where we needed to be for shows and sightseeing without needing a car all day.,1,1
1817,"Our recent overnight stop at The Fairmont exceeded expectations from arrival to departure. We secured an upgrade upon check-in, which placed us on a higher floor with stunning city views that immediately set a welcoming tone for our vacation. Upon entering the suite, the decor felt remarkably fresh rather than dated; warm wood tones blended seamlessly with contemporary art pieces, creating a sophisticated yet cozy atmosphere free of any worn textures or outdated fixtures we often fear in older luxury properties. The bed was undeniably the highlight, sinking us into plush linens that made sleep profound and uninterrupted despite neighboring activity below. Wakefulness felt natural thanks to filtered blackout curtains ensuring deep rest even without heavy drapes.",1,1
1818,"Not one of my better experiences, When I first arrived at the hotel and tried to get my room key it was discovered that they were fresh out of keys. I had to wait half an hour while someone ran out to get more keys. It wouldn't have been as bad but the lobby looked to be in slight disrepair. When I finally got to the room I found the burnt out light bulb and an unmade bed. The room was an ok size for one person but any more than that and it would probably get a bit crowded. But the view from the window was amazing, and it took away some of the bad for me. Overall, it just felt like the owners of the hotel stopped caring, maintenance took four or so hours to finally come fix the light. I didn't even get housekeeping my entire stay there. I wouldn't recommend this hotel to anyone in the area, hopefully it will make them get their act together.
",1,1
1819,"Wow--check-in was lightning fast, but the view from our balcony? *Stunning*. Quiet rooms even with a weekend crowd, and breakfast had eggs Benedict so good I almost cried. Staff? So attentive yet discreet--my favorite combo. Would stay again in a heartbeat.",1,1
1820,"Honestly, Swissotel felt underwhelming; the room was noticeably dated, and the breakfast buffet struggled with some truly mediocre coffee options overall.",1,1
1821,"Just wrapped up a fantastic stay at the InterContinental; honestly, it exceeded my expectations from start to finish. From the moment we arrived, the service was impeccable--the concierge team was incredibly proactive without ever being intrusive. Our room itself was stunning, boasting such a lovely view of the city skyline that we spent half our mornings just sipping coffee and admiring it. The bedding was luxurious, making for some seriously restful nights after long days of sightseeing. We ate at one of the restaurants last night, and I have to rave about the seafood platter; truly gourmet quality! While the entire property is beautiful, the rooftop bar offered a perfect blend of chic ambiance and fantastic cocktails. If you're looking for a stay where comfort, service, and location all align perfectly, this is absolutely it. We are already planning our return trip!",1,1
1822,"This hotel was an absolute dream to stay in. I couldn't have picked a better hotel to spend in such luxury. I enjoyed the set up of the rooms and the space they offered.The room decor was extremely elegant and the location was great as well. I honestly felt like I was at a spa! The price was very reasonable as well. I would definetly recommend this hotel to everyone I know. If you ever get a chance to spend a night here definetly choose the suite rooms!!!
",1,1
1823,"Check-in was a total nightmare--they 'misplaced' our reservation despite booking online months ago, then made us wait over 45 minutes before some tired clerk finally shuffled us to a tiny room with thin walls (heard every conversation from the next door).",1,1
1824,"Recently stayed at the InterContinental Chicago Magnificent Mile and was a little underwhelmed. It's convenient location did not compensate for the fact that the property is very old and definitely in need of some updating and renovating. There is a definite need for some noise control -- everything and everybody could be heard from inside the room. Hearing the plumbing from other guests' rooms was particularly annoying. The fitness facilities are really hyped but unfortunately they were not free to use (at least it wasn't included with my booking choice). Parking was pretty expensive so if you really don't need it, don't use it. Overall, just dissappointed that the great location wasn't matched with great accommodations.
",1,1
1825,"This hotel has a great location, and very friendly staff. However, the physical condition of the property has certainly fallen behind the competition. I use to be a regular at this hotel . . . but have not been back for 15 years. Rooms have not been well maintained (old carpets frayed at doors), wall paper peeling off of the walls, TV's from the 80's. There is currently construction going on in the lobby area, making it impossible to get to the restaurant without leaving the hotel and walking to an outside door.
",0,0
1826,"The Swissotel Chicago is a very mediocre hotel, the service is always poor, and the room service food always comes cold, unless it's supposed to be cold than it comes warm. I would rather stay at a super 8 than this place again.
",1,1
1827,"Stayed at the InterContinental for an entire week on business and for the most part a very elegant, convenient visit. Stayed in the historic tower. Very nice rooms, great view, attentive staff, convenient location just north of the Tribune Tower & the river, and nice fitness club at $16 for the entire stay. The only downside is I couldn't get over the feeling that I was being nickle & dimed: $10 a day for Wi-Fi, $6 bottles of water in the room, $26 mini-bottle of wine in the fridge, tipping multiple staff for carrying the same bags, etc. Their in-house restaurant Zest is Zagat rated though I'm not sure why. Within a 5 minute walk there are plenty of great restaurants with much better food than Zest. But, next time I need to be near the Loop I'd stay at the InterContinental again. 
",0,0
1828,"I stayed here 2 nights for a business conference. The food was pretty good. And they had these really good mints that I couldn't resist. The room was very comfortable and the bed was great. But I was annoyed by many issues. First, their internet went down for a couple of hour when I was there on a break from the conference. It wouldn't have been big deal except I needed to do some business while it was down. Second, the internet wasn't available in the conference rooms. I suppose the conference I attended would have had to pay extra for it. Third, The chair in the room was too low for the desk so I was in an awkward position while using my computer which gave me a back ache later. Fourth, on the second night my key didn't work. So I asked for a new one which also didn't work. So I asked for another one and the same thing happened. Thankfully the front desk asked a security guy to meet me up at my room so I didn't have to go back down to the lobby a third time. Then he came back a little later to tell me I was in the wrong room, which I wasn't. Finally, he came back with the right key. Fifth, the TV had one remote control for changing the channels and a different one for the volume. Sixth, they didn't have the comedy channel. Much cheaper hotels do. If this hotel didn't cost so much money all of these things would be minor inconveniences, but I would expect more for what I paid.
",0,0
1829,"Fairmont Hotels are generally my preferred choice, but this was a true disappointment. Check-in was quite slow and problematic (glitches with their reservation system locally). Room was very small and oddly arranged. Felt quite cramped in room and was hard to work at very small desk. Hotel overall felt quite cold and isolating...lobby is not at all inviting, and it didn't feel terribly safe walking around outside. Gift shop was overpriced, even for a downtown hotel. Food was disappointing. Overall this seems greatly overpriced and does not meet usual standards of A Fairmont i've come to count on. Bill was completely messed up and required 3 separate calls after i left to straighten out.
",0,1
1830,"Generally speaking, nothing bad about that place if there would not be the cleaning issue. We checked the closed with the mini bar (picture uploaded), so much dust, nobody cleaned here for at least 3 years. We called in housekeeping, giving them the opportunity to check and do something about it. Still the same situation when returning to the room 4 hrs. later. Next day moved to a renovated room, much better but not 5 star clean at all. In addition, there was never a time when there was no waiting line at the reception, no wonder when just 1/3 of the counters is actually open. Please do something about these issues its ruining everything!
",0,0
1831,"I recently stayed at the Hyatt Regency in Chicago for business, but extended my stay through the weekend because i loved it! The accommodations exceeded my expectations. My bed was very comfortable, the room was big enough, and the shower was so relaxing. I had a great meal in the chop shop and the coffee was delicious at J's express. The fitness center was clean, and inspiring. I will recommend this hotel to others while in the area. 
",1,1
1832,"I try to stay at the James every time I happen to be in Chicago. There are other good choices in town, but nobody has what the James offers: superior service - aka class meets efficiency -, metropolitan design and comfort with an attention to details I found only at the W in Seoul, and what always plays a role meaning a convenient location ... Then they get to you with small unexpected touches that make the difference ie: I was about to take off and drive North, it was a hot July day...one of the staff members handed me a bottle of water. A small gesture. Unexpected and appreciated. The management AND the staff understand what we expect and more importantly, what we need. AND they consistenly execute against that. 
",0,0
1833,"My husband and I arrived for a 3 night stay for our 10th wedding anniversary. We had booked an Executive Guest room, upon arrival we were informed that they would be upgrading us to a beautiful Junior Suite. This was just a wonderful unexpected plus to our beautifully planned weekend. The front desk manager was professional and made us feel warmly welcomed. The Chicago Affinia was just a gorgeous hotel, friendly staff, lovely food and great atmosphere. Not the mention the feather pillows and bedding that was just fantastic. Also we were allowed to bring out beloved Shi-Tzu and he experienced the Jet Set Pets stay. The grooming was perfect, the daycare service we felt completely comfortable with. This was a beautiful weekend, thank you Affinia Hotels! We would visit this hotel again! 
",1,0
1834,"Staying at The Conrad was absolutely worth every penny given its prime location right off Magnificent Mile. The fresh, contemporary decor felt lively rather than dated, while the complimentary high-speed wifi made working remotely a breeze without any lags whatsoever.",1,1
1835,"I would NOT recommend staying at the Swissotel in Chicago. I was travelling with a friend and we arrived at different times. She had booked the hotel but had added my name to the reservation since I would be arriving first. The 'night manager' at the hotel was extremely rude and told me I could not check in since they could not find the note about my name being on the reservation. (this was THEIR mistake) They told me I could sit in the lobby for 4 hours until my friend arrived. They did nothing to try and help me until I stood there and complained for twenty minutes. I can't believe that a 'manager' would treat a customer this way. There are other great hotels in Chicago. This hotel is not worth the aggravation!
",0,1
1836,"My company booked our group for a Conference and Sales Meeting. The service was friendly, helpful and the property was beautiful. The hotel was clean and filled with history. We thoroughly enjoyed our stay and the rate was reasonable as well. 
",0,0
1837,"I disliked the Sofitel so much we changed our week stay to the Grand Hyatt after the first night. We checked into our suite and was blasted by the smell of body odor immediately. We were tired from our flight, but went downstairs to change rooms. The second suite smelled just as bad, but stayed anyway. I disliked the hotel lobby, the staff, the decorating, and especially the bed. HORRIBLE. Soft, flimsy mattress. We come to Chicago frequently. We have always stayed at the Grand Hyatt and never been disappointed. We just thought we'd try some place new. Never again. Back to the Hyatt or Four Season we go!
",0,1
1838,"My 3 nieces and I stayed here for a long weekend, we had a wonderful time. We arrived early around 8:30am and they let us into our room. This was very nice otherwise we would have had to store our luggage and register later Room was very clean as was the bathroom. With 4 women we needed extra towels, they brought them up right away and then we got a call to make sure they were delivered. Room was also quiet, construction going on behind us and we never heard anything. Beds comfy and so were the quilts... Good location for Michigan Ave. All in all a wonderful stay. Would return. 
",0,0
