Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,Waking up to a breathtaking view of the skyline made every morning feel special at Affinia. The room was impeccably clean with plush bedding that helped me sleep soundly despite city noise.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,189,32,200,1,2,1.0,12,2026-09-04T13:26:23.916427+00:00
fake,allegro,Hotel,Our Allegro room offered stunning city views that set off to sleep soundly every night. The breakfast buffet was fresh and plentiful enough that I felt this stay was well worth the price paid for such quality comfort.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,217,38,200,1,2,1.0,12,2026-09-04T13:26:25.251236+00:00
fake,amalfi,Hotel,My brief overnight stay at Amalfi felt like too short to leave this breathtaking view overlooking the ocean cliffs. I slept soundly despite the breeze but definitely paid extra for that price worth every penny spent here so quickly.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,232,39,200,1,2,1.0,12,2026-09-04T13:26:26.835346+00:00
fake,ambassador,Hotel,"The Ambassador offers a fresh decor that feels bright rather than dated, paired with an impossibly clean room where dust was nowhere to be found.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,145,25,200,1,2,1.0,12,2026-09-04T13:26:28.415085+00:00
fake,conrad,Hotel,"Staying at The Conrad was absolutely worth every penny given its prime location right off Magnificent Mile. The fresh, contemporary decor felt lively rather than dated, while the complimentary high-speed wifi made working remotely a breeze without any lags whatsoever.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,268,40,200,1,1,1.0,12,2026-09-04T13:26:29.124343+00:00
fake,fairmont,Hotel,Our Fairmont room offered an exceptionally restful night's sleep with perfect blackout curtains while the complimentary high-speed Wi-Fi handled every work call flawlessly.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,172,23,200,1,2,1.0,12,2026-09-04T13:26:30.707640+00:00
fake,hardrock,Hotel,Staying at Hard Rock gave me an amazing vibe with breakfast that was fresh but quick for early meetings.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,104,19,200,0,2,1.0,12,2026-09-04T13:26:32.308521+00:00
fake,hilton,Hotel,The Hilton offered an effortlessly convenient location right near everything I needed without feeling crowded. My room featured a spacious bathroom with deep soaking tubs that made relaxing after travel genuinely enjoyable.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,223,32,200,1,2,1.0,12,2026-09-04T13:26:34.246708+00:00
fake,homewood,Hotel,Our room at Homewood was spotless with plush linens that felt incredibly fresh right out of the laundry service provided by our friendly staff each day.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,152,26,200,1,2,1.0,12,2026-09-04T13:26:36.138255+00:00
fake,hyatt,Hotel,This Hyatt felt worth every penny thanks to our attentive staff who smoothed out all our travel plans instantly.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,112,19,200,0,2,1.0,12,2026-09-04T13:26:37.643195+00:00
fake,intercontinental,Hotel,Our recent InterContinental getaway felt entirely too short to leave this revitalized sanctuary where fresh decor shines alongside exceptional service.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,10,151,20,200,1,2,1.0,12,2026-09-04T13:26:39.141790+00:00
fake,james,Hotel,"The James offers fresh decor without feeling dated, while our room delivered stunning skyline views through floor-to-ceiling glass windows that looked spectacular at night.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,11,172,24,200,1,2,1.0,12,2026-09-04T13:26:40.697208+00:00
fake,knickerbocker,Hotel,I spent only one night at Hotel Chicago Knickerbocker and felt too short staying there despite the lively downtown noise fading quickly inside this surprisingly quiet room.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,12,172,27,200,1,2,1.0,12,2026-09-04T13:26:42.335619+00:00
fake,monaco,Hotel,"I slept soundly in my room with a stunning city view that was absolutely breathtaking every morning. The modern bathroom felt luxurious and spotless, making this high-end stay completely worth the price given such thoughtful comfort throughout our trip at Hotel Monaco.",1,qwen3.5:9b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,0,269,42,200,1,1,1.0,12,2026-09-04T13:26:42.991467+00:00
