Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,Our three-night getaway at Affinia was perfectly paced between work calls and exploring the city streets outside. We were impressed that room noise stayed minimal even with bustling traffic just beyond the windows.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,214,33,200,1,2,1.0,12,2026-08-23T23:05:49.844438+00:00
fake,allegro,Hotel,Allegro feels like home with its warm touches right off Wabash where I could smell fresh coffee before my flight landed for breakfast next door to the busy station but noise never bothered me since walls soundproof well so much for value here you save cash compared nearby towers while still getting reliable comfort in a central spot that saves cab rides too.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,360,63,200,0,2,1.0,12,2026-08-23T23:05:51.451453+00:00
fake,amalfi,Hotel,The Amalfi's team greeted us with genuine warmth right at the lobby entrance this morning before heading to our spacious balcony room overlooking Naples bay views where zero street noise let us sleep perfectly after an early flight while fresh local pastries made breakfast delicious enough that we almost skipped lunch later today.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,332,53,200,0,2,1.0,12,2026-08-23T23:05:52.902472+00:00
fake,ambassador,Hotel,"We spent three chaotic days here during a busy convention week, yet the team at Ambassador kept things calm with genuine smiles rather than robotic efficiency.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,159,26,200,1,2,1.0,12,2026-08-23T23:05:54.647397+00:00
fake,conrad,Hotel,"Nestled right off LaSalle Street where the city lights glow late into the night, our Conde Nast Collection room felt surprisingly quiet despite being so central; staff were genuinely warm during breakfast with fresh pastries and perfectly brewed coffee that woke up the whole floor without a hint of morning noise or hassle.",1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,324,53,200,0,2,1.0,12,2026-08-23T23:05:56.083148+00:00
fake,fairmont,Hotel,Our three-night getaway at Fairmont was nothing short of magical thanks to staff who anticipated every need before we asked.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,124,20,200,0,2,1.0,12,2026-08-23T23:05:57.603233+00:00
fake,hardrock,Hotel,Staying three nights here felt perfect since we're right on downtown for easy walking everywhere.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,97,15,200,0,2,1.0,12,2026-08-23T23:05:59.412660+00:00
fake,hilton,Hotel,Spent three nights here for work thanks to the quiet location near transit that kept noise levels remarkably low during late meetings; enjoyed a hearty breakfast every morning before heading out into town again tomorrow soon!,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,225,36,200,1,1,1.0,12,2026-08-23T23:06:00.046745+00:00
fake,homewood,Hotel,Stayed here for three nights during my business trip and honestly loved every minute of it. The room was spotless with fresh linens while breakfast offered plenty of local options without feeling rushed.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,203,33,200,1,2,1.0,12,2026-08-23T23:06:01.536985+00:00
fake,hyatt,Hotel,My three-night Hyatt stint downtown was flawless thanks to the impeccable staff who greeted me warmly at check-in.,1,qwen3.5:9b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,114,18,200,0,2,1.0,12,2026-08-23T23:06:03.122365+00:00
