Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,opener_move,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,conrad,Hotel,"I loved my four-night stay; the central location made sightseeing incredibly easy. The staff were genuinely delightful and attentive, and despite the busy area, the room was surprisingly quiet.",1,gemma4:e4b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,4,193,29,200,1,3,1.0,12,2026-08-20T09:37:15.872849+00:00
fake,intercontinental,Hotel,"I loved our stay; the central location made exploring easy, and the staff's warmth made us feel right at home. The breakfast buffet was stellar, and considering the quality of the room and service, the value is unmatched.",1,gemma4:e4b,short,positive,structured,few_shot,"first person singular, starting with the word I",short_positive_structured_few_shot,10,221,38,200,1,2,1.0,12,2026-08-20T09:39:01.941727+00:00
fake,monaco,Hotel,"Our week in Monaco was flawless. The staff were unbelievably attentive, and despite the prime location, the noise levels were surprisingly low. Everything from the harbor views to the impeccable service made it a perfect getaway.",1,gemma4:e4b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,0,229,36,200,1,4,1.0,12,2026-08-20T09:39:53.829980+00:00
fake,palmer,Hotel,"Our week-long stay at The Palmer was perfect. The location was ideal, and the value far exceeded expectations. Breakfast was simply delicious every morning; a true treat.",1,gemma4:e4b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,2,170,27,200,1,3,1.0,12,2026-08-20T09:40:21.732313+00:00
fake,sheraton,Hotel,"Our stay at the Sheraton was fantastic. The location made city exploration so easy, and honestly, for this price point, the value is unbeatable. Breakfast was huge, and the room was surprisingly quiet, even in a busy area.",1,gemma4:e4b,short,positive,structured,zero_shot,"first person plural, starting with the word We or Our",short_positive_structured_zero_shot,3,222,38,200,1,3,1.0,12,2026-08-20T09:40:29.080712+00:00
fake,amalfi,Hotel,"I really enjoyed my long weekend stay; the room was spotless and quiet, making it easy to relax. The breakfast selection was vast and delicious, and the service was attentive throughout my visit.",1,gemma4:e4b,short,positive,structured,zero_shot,"first person singular, starting with the word I",short_positive_structured_zero_shot,9,195,33,200,1,1,1.0,12,2026-08-20T09:42:12.142307+00:00
fake,conrad,Hotel,"I loved our stay; the location is perfect for exploring, and the rooms were spotless. The staff went above and beyond--especially Maria in concierge--and the quiet ensured a peaceful night's sleep.",1,gemma4:e4b,short,positive,structured,zero_shot,"first person singular, starting with the word I",short_positive_structured_zero_shot,11,197,31,200,1,2,1.0,12,2026-08-20T09:42:36.750849+00:00
fake,intercontinental,Hotel,"Our trip to Miami was so relaxing; the view from our 2205 room of the bay was incredible. We loved the service, especially when the concierge helped us book that tricky sunset dinner reservation. The entire staff truly elevated our visit.",1,gemma4:e4b,short,positive,unstructured,few_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_few_shot,4,238,41,200,1,4,1.0,12,2026-08-20T09:44:26.792723+00:00
fake,james,Hotel,"Our stay was absolutely lovely. The bedding was so plush, and the breakfast spread was fantastic--I could practically nap right there at the complimentary coffee station. Everything just felt perfectly coordinated and so relaxing after a long week of traveling.",1,gemma4:e4b,short,positive,unstructured,few_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_few_shot,5,261,40,200,1,4,1.0,12,2026-08-20T09:44:37.853590+00:00
fake,omni,Hotel,"The complimentary morning coffee in our room was perfect, and the staff just made everything so effortless. We spent hours wandering the neighborhood, but coming back to the comfy bedding and the amazing city view made it feel like a proper getaway.",1,gemma4:e4b,short,positive,unstructured,few_shot,a specific detail or small incident,short_positive_unstructured_few_shot,8,249,42,200,1,1,1.0,12,2026-08-20T09:45:19.535535+00:00
fake,palmer,Hotel,"The room was perfect--so quiet and the view of the city skyline was truly breathtaking. We spent three nights here and everything worked flawlessly, from the efficient service staff to the comfy pillows.",1,gemma4:e4b,short,positive,unstructured,few_shot,the room or the hotel itself as the subject,short_positive_unstructured_few_shot,9,203,33,200,1,3,1.0,12,2026-08-20T09:45:27.368258+00:00
fake,talbott,Hotel,The hotel felt incredibly welcoming from the moment we walked in; our room was spacious and the view over the city was breathtakingly beautiful. We spent a lovely few nights here and everything was truly perfect.,1,gemma4:e4b,short,positive,unstructured,zero_shot,the room or the hotel itself as the subject,short_positive_unstructured_zero_shot,0,212,36,200,1,1,1.0,12,2026-08-20T09:46:29.653336+00:00
fake,affinia,Hotel,"Our stay at Affinia was perfect; the view from the balcony was incredible, and the breakfast selection was vast. The staff were so genuinely friendly, especially the concierge who helped us book those fancy restaurant reservations.",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,1,231,36,200,1,1,1.0,12,2026-08-20T09:46:30.614997+00:00
fake,amalfi,Hotel,"Our stay was absolutely perfect; the view of the Ligurian Sea from our balcony was breathtaking every single morning. The staff were wonderful and accommodating, and we even got a recommendation for a fantastic local trattoria we wouldn't have found otherwise.",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,3,260,41,200,1,1,1.0,12,2026-08-20T09:46:51.535379+00:00
fake,ambassador,Hotel,I truly appreciated the attention to detail from the ambassador; getting my bags carried to room 1403 made arriving right after a flight so much easier. Everything felt genuinely thoughtful and seamless.,1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person singular, starting with the word I",short_positive_unstructured_zero_shot,4,203,32,200,1,1,1.0,12,2026-08-20T09:46:52.327467+00:00
fake,conrad,Hotel,"Our stay was absolute perfection. The spa treatments were heavenly, and the concierge recommended some wonderful local spots we never would have found otherwise. We're already planning our next trip back to the Conrad!",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,5,218,34,200,1,6,1.0,12,2026-08-20T09:47:09.652180+00:00
fake,fairmont,Hotel,"Flawless stay. The room at the Fairmont was gorgeous, and I especially loved the view of the city from the balcony. The staff were genuinely attentive without being intrusive, which is always appreciated. I would absolutely return.",1,gemma4:e4b,short,positive,unstructured,zero_shot,a verdict stated up front,short_positive_unstructured_zero_shot,6,231,37,200,1,5,1.0,12,2026-08-20T09:47:24.044442+00:00
fake,hardrock,Hotel,"Our stay was absolutely fantastic. The music was loud but in the best way, and the room looked way better than the pictures online. We spent hours by the pool and the check-out process was surprisingly quick for a big hotel.",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,7,224,41,200,1,1,1.0,12,2026-08-20T09:47:24.934780+00:00
fake,hilton,Hotel,"Our stay at the Hilton was absolutely wonderful. The room felt spotless, and we really appreciated the concierge's help navigating the local transportation links. We had a fantastic time overall.",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,8,195,30,200,1,3,1.0,12,2026-08-20T09:47:32.389974+00:00
fake,homewood,Hotel,"Our stay at Homewood was fantastic; the bedding was so comfortable, and the little bonus trip the front desk staff recommended totally changed our plans for the weekend.",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,9,169,28,200,1,3,1.0,12,2026-08-20T09:47:40.348940+00:00
fake,hyatt,Hotel,"Our stay at the Hyatt was perfect; the beds were heavenly, and we loved the little rooftop garden access. Seriously, the concierge, Mark, helped us find an amazing hidden patio nearby that made exploring the neighborhood so much fun.",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person plural, starting with the word We or Our",short_positive_unstructured_zero_shot,10,233,39,200,1,2,1.0,12,2026-08-20T09:47:44.457603+00:00
fake,intercontinental,Hotel,"I loved staying at the Intercontinental. Our room was spotless, and the view from the balcony of 1403 was absolutely stunning every morning. The concierge team was incredibly helpful getting us tickets to the museum, too.",1,gemma4:e4b,short,positive,unstructured,zero_shot,"first person singular, starting with the word I",short_positive_unstructured_zero_shot,11,221,36,200,1,1,1.0,12,2026-08-20T09:47:45.328180+00:00
